FrecEspacial,Orientation,Categoria,CorrectAns,Frecuencia,Orientacion,tecla,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67570285788662,117,A,left,,,,0,0,0,0,,,,,46.09553739998955,50.09652110002935,50.59704270004295,54.59792089997791,55.09861400001682,59.099360099993646,42.11097789998166,46.11292820004746,59.59905149997212,None,right,0,0.8816253999248147,63.801866599940695,None,63.70186619996093,None,64.70159579999745,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
5.97436997443584,258,A,left,,,,0,1,1,1,,,,,,,,,,,,,,,right,0,0.2547402000054717,65.88484620000236,None,65.7847771999659,None,66.18253510002978,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
5.68239108616436,262,A,left,,,,0,2,2,2,,,,,,,,,,,,,,,right,0,0.15349119994789362,67.36972940003034,None,67.2694442999782,None,67.55165349994786,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
5.87740232142946,95,A,left,,,,0,3,3,3,,,,,,,,,,,,,,,right,0,0.10734059999231249,68.73684240004513,None,68.6367167000426,None,68.86985579994507,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.21497055868499,30,A,left,,,,0,4,4,4,,,,,,,,,,,,,,,right,0,0.15017689997330308,70.05321090004873,None,69.95332920004148,None,70.21968640002888,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
5.9777226950445,293,A,left,,,,0,5,5,5,,,,,,,,,,,,,,,right,0,0.11830440000630915,71.40420230000746,None,71.30442129995208,None,71.55337490001693,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.16942304684475,98,A,left,,,,0,6,6,6,,,,,,,,,,,,,,,right,0,0.09682269999757409,72.7381695000222,None,72.63801510003395,None,72.85382700001355,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
5.83113663926556,258,A,left,,,,0,7,7,7,,,,,,,,,,,,,,,right,0,0.16453519999049604,74.03852609999012,None,73.93865619995631,None,74.22098610003013,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.06838533782589,269,A,left,,,,0,8,8,8,,,,,,,,,,,,,,,right,0,0.013631600071676075,75.4056217999896,None,75.30645180004649,None,75.43902739998884,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
5.88404357011018,126,A,left,,,,0,9,9,9,,,,,,,,,,,,,,,right,0,0.060955599998123944,76.62184090004303,None,76.52195089997258,None,76.70578049996402,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.80490635941894,312,B,right,,,,0,10,10,10,,,,,,,,,,,,,,,right,1,0.11396250000689179,77.88897059997544,None,77.78882270003669,None,78.02212480001617,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.70350812493045,8,B,right,,,,0,11,11,11,,,,,,,,,,,,,,,right,1,0.12491379992570728,79.20649470004719,None,79.10702590004075,None,79.35624490003102,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.55448032748352,106,B,right,,,,0,12,12,12,,,,,,,,,,,,,,,right,1,0.11817499995231628,80.54042640002444,None,80.44057279999834,None,80.68986359995324,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.68475017850682,112,B,right,,,,0,13,13,13,,,,,,,,,,,,,,,right,1,0.1689271000213921,81.87408059998415,None,81.77447800000664,None,82.07416229997762,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.55127629413204,11,B,right,,,,0,14,14,14,,,,,,,,,,,,,,,right,1,0.0497476999880746,83.2573379999958,None,83.15722519997507,None,83.32377470005304,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.48877641866224,174,B,right,,,,0,15,15,15,,,,,,,,,,,,,,,right,1,0.18236900004558265,84.50845810002647,None,84.40831990004517,None,84.72127380000893,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.34624095869614,210,B,right,,,,0,16,16,16,,,,,,,,,,,,,,,right,1,0.1915385000174865,85.9079598999815,None,85.80768159998115,None,86.12519779999275,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.22544387677702,87,B,right,,,,0,17,17,17,,,,,,,,,,,,,,,right,1,0.23071919998619705,87.30867749999743,None,87.20851060003042,None,87.55935180000961,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.55648003231694,36,B,right,,,,0,18,18,18,,,,,,,,,,,,,,,right,1,0.16486330004408956,88.74227609997615,None,88.64230319997296,None,88.92630449996796,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
6.59467094736406,116,B,right,,,,0,19,19,19,,,,,,,,,,,,,,,right,1,0.1414323999779299,90.10948149999604,None,90.00949560001027,None,90.2766090000514,None,,,,,,,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.79431270004716,None,space,0.638044000021182,92.2935368999606,None,,,,,,,,,,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.93196959075185,127.47737405748008,left,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,93.06136980000883,None,right,0,0.8417219000402838,93.16131480003241,None,94.04158930003177,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.854430776194954,117.43066219475884,left,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,95.1442640000023,None,right,0,0.926692400011234,95.24430759996176,None,96.19509339996148,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.965715904251782,125.78797409596945,left,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,97.27848069998436,None,left,1,0.3450192000018433,97.37828780000564,None,97.75915549998172,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
