FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,Categoria,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,70.87903599999845,None,space,20.83580300002359,70.87903599999845,None,,,,,,,,,,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.965191687028903,121.37776775169195,0.0,Correcta,left,A,0,0,0,0,,,,,,,92.64175270008855,None,right,0,1.1755769001320004,92.65581430005841,None,93.9464706000872,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.9771699046133495,125.4605635849509,0.0,Correcta,left,A,0,1,1,1,,,,,,,95.04112110007554,None,right,0,1.2547257000114769,95.13703149999492,None,96.42394899995998,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.858130921409005,122.23532000688499,0.0,Incorrecta,left,A,0,2,2,2,,,,,,,97.51703460002318,None,left,1,2.5744408001191914,97.61679930007085,None,100.24909880012274,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.920320118296704,124.67725486490627,0.0,Incorrecta,left,A,0,3,3,3,,,,,,,101.34522160002962,None,left,1,1.152673500124365,101.44274009997025,None,102.62755950004794,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.260601388909613,130.717332789681,0.0,Correcta,left,A,0,4,4,4,,,,,,,103.7228071000427,None,left,1,0.9586608000099659,103.82508620014414,None,104.80488900002092,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.030508118502993,126.64620091918304,0.0,Correcta,left,A,0,5,5,5,,,,,,,105.9066570000723,None,right,0,1.549271099967882,106.00174540001899,None,107.60150220012292,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.120209084653357,127.47182322439687,0.0,Correcta,left,A,0,6,6,6,,,,,,,108.70112730003893,None,right,0,0.75699059991166,108.80084459995851,None,109.5848197999876,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.135607964335728,125.93193915936888,0.0,Correcta,left,A,0,7,7,7,,,,,,,110.6806632000953,None,left,1,0.7810831000097096,110.78080609999597,None,111.58513220003806,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.926470973195412,126.00148315105969,0.0,Incorrecta,left,A,0,8,8,8,,,,,,,112.67818020004779,None,left,1,0.5995760001242161,112.77831630012952,None,113.40866950014606,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.970555023217761,129.69368977286334,0.0,Incorrecta,left,A,0,9,9,9,,,,,,,114.50671540014446,None,left,1,0.22972730011679232,114.60671439999714,None,114.85716480016708,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.012502960806838,124.26800688591406,0.0,Incorrecta,left,A,0,10,10,10,,,,,,,115.95656880014576,None,left,1,0.11111190007068217,116.05586170009337,None,116.19151689996943,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.895699191201937,124.24631201483506,0.0,Incorrecta,left,A,0,11,11,11,,,,,,,117.28639949997887,None,left,1,0.01716869999654591,117.38631880003959,None,117.42247790005058,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.163869829576473,128.3814816860336,0.0,Incorrecta,left,A,0,12,12,12,,,,,,,118.51937100011855,None,left,1,0.013984299963340163,118.61923580011353,None,118.6507433000952,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.962182800432753,124.45549451856752,0.0,Incorrecta,left,A,0,13,13,13,,,,,,,119.7509608999826,None,left,1,0.39075600006617606,119.85060210013762,None,120.26374260010198,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.443626275193112,128.79395002535878,0.0,Incorrecta,left,A,0,14,14,14,,,,,,,121.36541880015284,None,left,1,0.16169769992120564,121.46447800006717,None,121.64592969999649,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.1464906139882896,121.28119186264692,0.0,Correcta,left,A,0,15,15,15,,,,,,,122.74650090001523,None,left,1,0.13134020008146763,122.84637530008331,None,122.99255009996705,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
6.003707569187296,125.84531970128613,0.0,Incorrecta,left,A,0,16,16,16,,,,,,,124.09619770012796,None,left,1,0.0510171998757869,124.19112200010568,None,124.25996210006997,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
5.8900686487152925,130.12481230817104,0.0,Incorrecta,left,A,0,17,17,17,,,,,,,125.35588819999248,None,left,1,0.12775860005058348,125.45498539996333,None,125.60568270017393,None,anto14-10,001,2021_Oct_14_2020,PruebaGabor2,2021.1.0,60.32636562297214,
