count,ptid,MoveTime,Compatibilidad,Grupo MoveTime
548,407,589,0,Grupo B
552,407,294,0,Grupo B
553,407,313,1,Grupo B
557,407,341,0,Grupo B
558,407,731,0,Grupo B
559,407,438,1,Grupo B
562,408,380,0,Grupo A
563,408,262,0,Grupo A
566,408,302,0,Grupo A
567,408,251,1,Grupo A
576,408,604,1,Grupo A
586,408,235,0,Grupo A
588,408,267,0,Grupo A
589,408,325,1,Grupo A
593,408,412,1,Grupo A
594,408,284,1,Grupo A
595,408,166,0,Grupo A
598,408,312,1,Grupo A
606,408,315,0,Grupo A
614,408,301,1,Grupo A
615,408,250,0,Grupo A
617,408,488,0,Grupo A
622,408,273,0,Grupo A
627,408,251,1,Grupo A
633,408,306,1,Grupo A
634,408,275,0,Grupo A
635,408,296,1,Grupo A
637,408,256,0,Grupo A
638,408,270,0,Grupo A
639,408,251,1,Grupo A
641,409,683,1,Grupo B
642,409,538,1,Grupo B
644,409,615,0,Grupo B
648,409,505,1,Grupo B
652,409,469,0,Grupo B
655,409,729,1,Grupo B
656,409,993,1,Grupo B
657,409,494,0,Grupo B
660,409,715,0,Grupo B
661,409,665,0,Grupo B
663,409,534,1,Grupo B
664,409,554,0,Grupo B
665,409,707,1,Grupo B
666,409,906,1,Grupo B
667,409,746,1,Grupo B
670,409,530,1,Grupo B
671,409,530,1,Grupo B
672,409,595,1,Grupo B
673,409,728,0,Grupo B
685,409,444,0,Grupo B
686,409,576,1,Grupo B
691,409,453,0,Grupo B
693,409,552,1,Grupo B
695,409,425,1,Grupo B
696,409,728,0,Grupo B
704,409,473,1,Grupo B
706,409,437,0,Grupo B
708,409,497,0,Grupo B
709,409,539,1,Grupo B
710,409,633,1,Grupo B
712,409,360,0,Grupo B
714,409,416,0,Grupo B
716,409,422,1,Grupo B
717,409,418,0,Grupo B
718,409,505,0,Grupo B
720,409,416,1,Grupo B
723,410,245,1,Grupo B
724,410,253,1,Grupo B
726,410,208,0,Grupo B
729,410,260,1,Grupo B
731,410,247,0,Grupo B
738,410,235,0,Grupo B
742,410,216,1,Grupo B
748,410,243,0,Grupo B
750,410,287,0,Grupo B
753,410,506,1,Grupo B
756,410,496,0,Grupo B
757,410,1543,1,Grupo B
758,410,174,1,Grupo B
760,410,497,0,Grupo B
761,410,220,0,Grupo B
764,410,307,0,Grupo B
765,410,283,0,Grupo B
771,410,356,1,Grupo B
774,410,836,1,Grupo B
777,410,2492,1,Grupo B
778,410,202,1,Grupo B
781,410,263,1,Grupo B
782,410,101,0,Grupo B
783,410,301,1,Grupo B
784,410,158,0,Grupo B
787,410,87,1,Grupo B
791,410,433,0,Grupo B
794,410,250,0,Grupo B
797,410,66,1,Grupo B
798,410,172,1,Grupo B
799,410,178,0,Grupo B
800,410,366,0,Grupo B
803,411,176,1,Grupo B
805,411,206,0,Grupo B
807,411,270,1,Grupo B
808,411,186,0,Grupo B
810,411,233,1,Grupo B
813,411,226,0,Grupo B
816,411,246,0,Grupo B
819,411,397,1,Grupo B
822,411,316,1,Grupo B
824,411,239,0,Grupo B
826,411,272,0,Grupo B
828,411,581,0,Grupo B
829,411,318,0,Grupo B
831,411,203,0,Grupo B
832,411,226,1,Grupo B
833,411,263,0,Grupo B
836,411,198,1,Grupo B
840,411,229,1,Grupo B
841,411,265,0,Grupo B
842,411,269,0,Grupo B
844,411,297,1,Grupo B
845,411,310,0,Grupo B
848,411,261,0,Grupo B
849,411,269,1,Grupo B
851,411,273,1,Grupo B
855,411,289,0,Grupo B
856,411,337,1,Grupo B
857,411,5239,1,Grupo B
858,411,256,0,Grupo B
860,411,298,0,Grupo B
863,411,300,1,Grupo B
864,411,255,1,Grupo B
869,411,302,1,Grupo B
870,411,304,1,Grupo B
871,411,257,0,Grupo B
879,411,241,1,Grupo B
880,411,248,1,Grupo B
881,412,218,0,Grupo B
882,412,289,0,Grupo B
884,412,305,0,Grupo B
886,412,673,0,Grupo B
890,412,326,1,Grupo B
892,412,395,1,Grupo B
893,412,370,1,Grupo B
895,412,432,0,Grupo B
896,412,457,0,Grupo B
899,412,417,1,Grupo B
902,412,212,1,Grupo B
904,412,305,0,Grupo B
905,412,413,1,Grupo B
906,412,296,0,Grupo B
908,412,282,1,Grupo B
915,412,297,0,Grupo B
921,412,483,0,Grupo B
922,412,255,1,Grupo B
927,412,201,1,Grupo B
931,412,311,0,Grupo B
932,412,84,1,Grupo B
934,412,348,1,Grupo B
935,412,407,1,Grupo B
937,412,298,1,Grupo B
938,412,340,0,Grupo B
939,412,505,1,Grupo B
948,412,392,1,Grupo B
950,412,325,1,Grupo B
951,412,480,1,Grupo B
953,412,593,0,Grupo B
954,412,412,0,Grupo B
956,412,285,1,Grupo B
958,412,693,0,Grupo B
959,412,343,0,Grupo B
960,412,298,0,Grupo B
961,413,245,0,Grupo A
962,413,256,0,Grupo A
964,413,252,1,Grupo A
965,413,302,1,Grupo A
968,413,252,0,Grupo A
970,413,319,1,Grupo A
972,413,261,1,Grupo A
973,413,336,1,Grupo A
974,413,335,1,Grupo A
976,413,224,0,Grupo A
978,413,322,1,Grupo A
979,413,259,0,Grupo A
980,413,243,1,Grupo A
983,413,268,0,Grupo A
987,413,315,0,Grupo A
988,413,363,1,Grupo A
990,413,230,1,Grupo A
991,413,951,0,Grupo A
1000,413,263,0,Grupo A
1002,413,458,1,Grupo A
1004,413,706,1,Grupo A
1006,413,270,0,Grupo A
1011,413,323,0,Grupo A
1012,413,356,0,Grupo A
1014,413,325,1,Grupo A
1015,413,424,1,Grupo A
1017,413,257,0,Grupo A
1019,413,255,1,Grupo A
1024,413,318,0,Grupo A
1025,413,308,1,Grupo A
1026,413,218,0,Grupo A
1032,413,370,1,Grupo A
1033,413,374,0,Grupo A
1037,413,359,0,Grupo A
1040,413,368,0,Grupo A
1041,414,211,1,Grupo B
1042,414,2571,1,Grupo B
1043,414,217,0,Grupo B
1044,414,208,1,Grupo B
1045,414,263,1,Grupo B
1046,414,181,0,Grupo B
1047,414,202,0,Grupo B
1051,414,243,1,Grupo B
1061,414,231,0,Grupo B
1067,414,278,1,Grupo B
1070,414,257,1,Grupo B
1082,414,383,0,Grupo B
1083,414,256,1,Grupo B
1090,414,297,0,Grupo B
1103,414,220,1,Grupo B
1104,414,247,0,Grupo B
1110,414,200,1,Grupo B
1114,414,200,0,Grupo B
1116,414,198,0,Grupo B
1118,414,138,0,Grupo B
1123,415,322,1,Grupo A
1124,415,355,0,Grupo A
1125,415,239,0,Grupo A
1126,415,236,0,Grupo A
1131,415,339,1,Grupo A
1135,415,338,1,Grupo A
1136,415,306,0,Grupo A
1139,415,329,1,Grupo A
1147,415,271,1,Grupo A
1148,415,248,1,Grupo A
1149,415,256,0,Grupo A
1150,415,160,1,Grupo A
1153,415,214,1,Grupo A
1154,415,240,0,Grupo A
1156,415,302,0,Grupo A
1157,415,269,0,Grupo A
1161,415,213,1,Grupo A
1162,415,255,1,Grupo A
1166,415,194,0,Grupo A
1168,415,289,1,Grupo A
1170,415,262,1,Grupo A
1172,415,207,0,Grupo A
1178,415,169,0,Grupo A
1181,415,285,1,Grupo A
1182,415,257,1,Grupo A
1185,415,183,0,Grupo A
1189,415,211,1,Grupo A
1197,415,204,0,Grupo A
1199,415,248,0,Grupo A
1200,415,160,1,Grupo A
1204,416,220,1,Grupo A
1209,416,190,0,Grupo A
1212,416,188,1,Grupo A
1216,416,176,1,Grupo A
1218,416,215,1,Grupo A
1220,416,187,0,Grupo A
1221,416,194,0,Grupo A
1222,416,201,1,Grupo A
1223,416,201,0,Grupo A
1231,416,222,1,Grupo A
1234,416,257,0,Grupo A
1236,416,238,0,Grupo A
1237,416,183,1,Grupo A
1238,416,262,1,Grupo A
1240,416,296,1,Grupo A
1241,416,223,0,Grupo A
1242,416,240,0,Grupo A
1250,416,235,1,Grupo A
1252,416,221,0,Grupo A
1253,416,256,0,Grupo A
1254,416,251,1,Grupo A
1258,416,259,1,Grupo A
1259,416,268,1,Grupo A
1262,416,245,0,Grupo A
1264,416,314,0,Grupo A
1265,416,284,1,Grupo A
1269,416,268,0,Grupo A
1272,416,296,1,Grupo A
1273,416,226,0,Grupo A
1275,416,275,1,Grupo A
1277,416,299,0,Grupo A
1278,416,256,0,Grupo A
1279,416,283,0,Grupo A
1282,417,347,0,Grupo A
1285,417,216,0,Grupo A
1286,417,200,1,Grupo A
1287,417,177,0,Grupo A
1288,417,513,1,Grupo A
1290,417,238,1,Grupo A
1293,417,183,0,Grupo A
1294,417,220,1,Grupo A
1295,417,314,1,Grupo A
1301,417,228,1,Grupo A
1304,417,228,1,Grupo A
1305,417,204,1,Grupo A
1307,417,206,0,Grupo A
1313,417,655,0,Grupo A
1318,417,333,0,Grupo A
1319,417,274,1,Grupo A
1321,417,350,0,Grupo A
1325,417,350,1,Grupo A
1327,417,367,0,Grupo A
1328,417,300,1,Grupo A
1329,417,258,0,Grupo A
1332,417,228,0,Grupo A
1334,417,289,1,Grupo A
1335,417,339,1,Grupo A
1340,417,275,0,Grupo A
1348,417,236,0,Grupo A
1352,417,331,1,Grupo A
1353,417,275,0,Grupo A
1354,417,257,1,Grupo A
1357,417,222,1,Grupo A
1364,418,305,1,Grupo B
1365,418,314,0,Grupo B
1366,418,381,1,Grupo B
1368,418,284,0,Grupo B
1371,418,380,0,Grupo B
1372,418,299,0,Grupo B
1382,418,232,1,Grupo B
1384,418,487,1,Grupo B
1388,418,396,1,Grupo B
1394,418,290,1,Grupo B
1395,418,311,0,Grupo B
1399,418,927,1,Grupo B
1402,418,337,1,Grupo B
1405,418,295,0,Grupo B
1407,418,370,1,Grupo B
1410,418,392,1,Grupo B
1412,418,409,0,Grupo B
1413,418,386,1,Grupo B
1414,418,734,1,Grupo B
1416,418,311,0,Grupo B
1417,418,297,0,Grupo B
1418,418,391,0,Grupo B
1421,418,349,0,Grupo B
1422,418,1103,0,Grupo B
1425,418,404,1,Grupo B
1427,418,282,1,Grupo B
1429,418,328,0,Grupo B
1434,418,266,0,Grupo B
1435,418,302,0,Grupo B
1438,418,360,0,Grupo B
1448,419,348,1,Grupo A
1449,419,342,0,Grupo A
1451,419,290,1,Grupo A
1452,419,352,0,Grupo A
1454,419,334,0,Grupo A
1456,419,316,1,Grupo A
1457,419,281,0,Grupo A
1460,419,262,1,Grupo A
1472,419,347,0,Grupo A
1473,419,363,0,Grupo A
1476,419,169,1,Grupo A
1480,419,204,1,Grupo A
1481,419,246,0,Grupo A
1484,419,307,0,Grupo A
1492,419,310,1,Grupo A
1494,419,304,1,Grupo A
1495,419,311,1,Grupo A
1496,419,292,0,Grupo A
1500,419,282,0,Grupo A
1502,419,259,0,Grupo A
1504,419,467,1,Grupo A
1505,419,312,1,Grupo A
1508,419,328,1,Grupo A
1510,419,254,0,Grupo A
1511,419,266,1,Grupo A
1515,419,394,0,Grupo A
1524,420,152,1,Grupo A
1530,420,140,1,Grupo A
1531,420,142,1,Grupo A
1533,420,151,1,Grupo A
1537,420,148,0,Grupo A
1539,420,223,1,Grupo A
1540,420,178,0,Grupo A
1542,420,139,1,Grupo A
1545,420,131,1,Grupo A
1548,420,184,0,Grupo A
1549,420,167,0,Grupo A
1551,420,125,0,Grupo A
1554,420,183,1,Grupo A
1557,420,147,0,Grupo A
1560,420,151,1,Grupo A
1562,420,180,0,Grupo A
1567,420,149,0,Grupo A
1570,420,149,0,Grupo A
1571,420,143,0,Grupo A
1576,420,148,0,Grupo A
1577,420,116,1,Grupo A
1581,420,189,0,Grupo A
1583,420,113,0,Grupo A
1589,420,155,0,Grupo A
1593,420,155,0,Grupo A
1594,420,146,1,Grupo A
1595,420,108,1,Grupo A
1598,420,157,1,Grupo A
1599,420,194,1,Grupo A
1600,420,97,0,Grupo A
1602,421,946,1,Grupo B
1604,421,339,1,Grupo B
1612,421,358,0,Grupo B
1614,421,358,1,Grupo B
1617,421,1322,0,Grupo B
1621,421,266,1,Grupo B
1624,421,265,1,Grupo B
1628,421,282,0,Grupo B
1630,421,339,0,Grupo B
1631,421,288,1,Grupo B
1634,421,315,0,Grupo B
1636,421,359,1,Grupo B
1637,421,375,1,Grupo B
1641,421,214,0,Grupo B
1645,421,283,0,Grupo B
1647,421,408,0,Grupo B
1650,421,348,1,Grupo B
1652,421,648,1,Grupo B
1656,421,508,0,Grupo B
1657,421,448,1,Grupo B
1660,421,366,1,Grupo B
1662,421,397,0,Grupo B
1664,421,388,0,Grupo B
1665,421,361,0,Grupo B
1667,421,374,0,Grupo B
1668,421,441,0,Grupo B
1671,421,413,1,Grupo B
1673,421,374,0,Grupo B
1674,421,407,0,Grupo B
1676,421,340,0,Grupo B
1677,421,453,1,Grupo B
1679,421,286,1,Grupo B
1680,421,638,1,Grupo B
1686,422,230,1,Grupo A
1690,422,314,1,Grupo A
1694,422,305,0,Grupo A
1695,422,240,0,Grupo A
1697,422,245,0,Grupo A
1700,422,217,1,Grupo A
1701,422,231,1,Grupo A
1704,422,177,1,Grupo A
1707,422,233,0,Grupo A
1713,422,251,1,Grupo A
1716,422,226,1,Grupo A
1718,422,247,0,Grupo A
1720,422,246,0,Grupo A
1721,422,227,0,Grupo A
1722,422,157,1,Grupo A
1723,422,250,0,Grupo A
1726,422,214,0,Grupo A
1727,422,198,0,Grupo A
1733,422,224,0,Grupo A
1734,422,254,1,Grupo A
1739,422,228,1,Grupo A
1740,422,287,1,Grupo A
1741,422,290,1,Grupo A
1744,422,245,0,Grupo A
1745,422,175,1,Grupo A
1747,422,184,1,Grupo A
1749,422,181,1,Grupo A
1752,422,195,0,Grupo A
1753,422,191,0,Grupo A
1754,422,186,0,Grupo A
1756,422,207,0,Grupo A
1760,422,169,1,Grupo A
1761,423,287,0,Grupo A
1763,423,316,0,Grupo A
1764,423,325,1,Grupo A
1767,423,293,0,Grupo A
1768,423,347,1,Grupo A
1769,423,304,1,Grupo A
1772,423,378,0,Grupo A
1773,423,524,0,Grupo A
1776,423,423,1,Grupo A
1788,423,298,1,Grupo A
1789,423,329,1,Grupo A
1791,423,296,1,Grupo A
1792,423,353,0,Grupo A
1793,423,328,0,Grupo A
1794,423,289,1,Grupo A
1795,423,302,0,Grupo A
1798,423,334,0,Grupo A
1800,423,335,1,Grupo A
1802,423,313,1,Grupo A
1803,423,281,1,Grupo A
1804,423,311,1,Grupo A
1805,423,352,0,Grupo A
1808,423,333,1,Grupo A
1809,423,334,1,Grupo A
1810,423,278,0,Grupo A
1811,423,317,0,Grupo A
1815,423,267,1,Grupo A
1823,423,288,1,Grupo A
1828,423,395,0,Grupo A
1833,423,267,0,Grupo A
1836,423,294,0,Grupo A
1840,423,321,0,Grupo A
1844,424,402,1,Grupo B
1845,424,442,1,Grupo B
1846,424,539,0,Grupo B
1848,424,476,1,Grupo B
1850,424,436,1,Grupo B
1853,424,446,1,Grupo B
1856,424,256,0,Grupo B
1861,424,338,1,Grupo B
1863,424,392,1,Grupo B
1865,424,538,1,Grupo B
1866,424,312,0,Grupo B
1868,424,367,1,Grupo B
1872,424,451,1,Grupo B
1875,424,358,1,Grupo B
1888,424,411,1,Grupo B
1891,424,451,0,Grupo B
1894,424,349,0,Grupo B
1898,424,371,0,Grupo B
1900,424,493,1,Grupo B
1901,424,364,0,Grupo B
1907,424,329,0,Grupo B
1911,424,359,1,Grupo B
1912,424,484,0,Grupo B
1913,424,344,0,Grupo B
1923,425,359,0,Grupo A
1926,425,322,1,Grupo A
1932,425,249,0,Grupo A
1933,425,510,0,Grupo A
1946,425,265,0,Grupo A
1947,425,316,1,Grupo A
1948,425,251,0,Grupo A
1950,425,256,0,Grupo A
1951,425,445,1,Grupo A
1953,425,254,0,Grupo A
1955,425,313,0,Grupo A
1958,425,296,1,Grupo A
1966,425,252,0,Grupo A
