"LiftOffMean.Group.1","LiftOffMean","LiftOffDiffMean","MoveTimeMean"
401,1814.48387096774,255.161290322581,298.451612903226
402,2045.4,503.6,479.542857142857
403,2104.41935483871,568.129032258065,551.064516129032
404,2086.03225806452,498.064516129032,105.290322580645
405,2351.37931034483,796.103448275862,270.413793103448
406,2247.83783783784,688.081081081081,619.567567567568
407,1140.05405405405,-417.567567567568,397
408,2243,708.083333333333,305.5
409,2254.22222222222,682.694444444444,570.277777777778
410,2561.84375,966.40625,390.03125
411,1996.35135135135,441.405405405405,406.891891891892
412,1956.71428571429,424.857142857143,364
413,2299.85714285714,742.942857142857,333.857142857143
414,2150.35,567.45,350.05
415,2184.13333333333,641,252.033333333333
416,1867.30303030303,298.242424242424,240.272727272727
417,2247.83333333333,671.133333333333,287.1
418,1971.83333333333,453.366666666667,397.4
419,1942.65384615385,381.576923076923,305.384615384615
420,1927.43333333333,366.4,152
421,2044.57575757576,506.272727272727,421.424242424242
422,2152.25,606.5,225.75
423,2911.28125,1368.09375,325.375
424,2311.83333333333,729.791666666667,404.5
425,2486.27272727273,931.454545454545,299.090909090909
426,2270.60714285714,691.821428571429,433.821428571429
427,2078.91891891892,536.324324324324,336.189189189189
428,2032.44827586207,471.103448275862,391.758620689655
429,2323.93548387097,790.516129032258,324.806451612903
430,2108.84375,540,184
431,2094.48484848485,545.060606060606,316.666666666667
432,1887.5625,325.21875,265.0625
433,2179.43243243243,591.837837837838,216.702702702703
434,2101,548.28,320.84
435,1828.73913043478,331.391304347826,112.652173913043
436,2407.84615384615,823.038461538462,552.615384615385
437,2542,947.777777777778,373.185185185185
438,2611.3125,1069.25,562.25
439,2285.29411764706,725.382352941176,154.235294117647
440,2672.92857142857,1147.85714285714,466.428571428571
441,2238.55555555556,655.222222222222,576.833333333333
442,2728.96428571429,1153.21428571429,281.464285714286
443,2376.07692307692,851.576923076923,496.307692307692
444,1927.96296296296,417.555555555556,278.62962962963
445,2421.5,868.545454545455,436.227272727273
446,2293.76923076923,767.807692307692,363.884615384615
447,2301.10714285714,754.857142857143,503.571428571429
448,3181.12,1554.36,541.28
449,2120.3125,571.15625,236.84375
450,2546.21739130435,1022.17391304348,378.869565217391
451,2566.2962962963,1020.88888888889,385.962962962963
452,2230.75757575758,671.515151515152,554.151515151515
453,2495.70588235294,959.176470588235,399.470588235294
454,2085.64285714286,551.571428571429,347
455,2167.66666666667,556.583333333333,360.666666666667
456,3885.55555555556,2298.44444444444,349.277777777778
457,2203.21875,621.21875,247.65625
458,1876.64705882353,320.705882352941,314.882352941176
459,2368.16666666667,814.033333333333,345.033333333333
460,2356.96,793.68,260.96
