"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4"
47,0,401,3,47,1,1,1,0,273,1639,1392,74,"You saw the cow the base ball"," 12/22/2016"," comprehension    "," n"," n"," n"
48,0,401,3,48,1,0,0,1,287,1492,1277,19,"Liz told you the story"," 12/22/2016"," comprehension    "," n"," n"," n"
49,0,401,3,49,1,0,1,1,0,0,1623,59,"Tom slept the marble to you"," 12/22/2016"," comprehension    "," n"," n"," n"
50,0,401,3,50,0,0,1,0,294,1492,1448,50,"Jim pretended the stew to you"," 12/22/2016"," comprehension    "," n"," n"," n"
51,0,401,3,51,0,1,1,1,0,0,1680,65,"You dispensed icecream Sandra"," 12/22/2016"," comprehension    "," n"," n"," n"
52,0,401,3,52,0,0,1,1,0,0,1291,48,"Jack thought you the ice cream"," 12/22/2016"," comprehension    "," n"," n"," n"
53,0,401,3,53,0,0,0,1,445,1620,1473,10,"Your dad poured you some water"," 12/22/2016"," comprehension    "," n"," n"," n"
54,0,401,3,54,0,1,0,1,303,1765,1485,22,"You awarded a medal to Helen"," 12/22/2016"," comprehension    "," n"," n"," n"
55,0,401,3,55,0,1,0,1,322,1776,1681,21,"You delivered the Pizza to Andy"," 12/22/2016"," comprehension    "," n"," n"," n"
56,0,401,3,56,1,0,1,1,0,0,1363,57,"Sam received cookies to you"," 12/22/2016"," comprehension    "," n"," n"," n"
57,0,401,3,57,0,0,1,1,0,0,1291,45,"Courtney snuggled you the water"," 12/22/2016"," comprehension    "," n"," n"," n"
58,0,401,3,58,1,0,0,1,332,1642,1371,20,"Your family sent you regards"," 12/22/2016"," comprehension    "," n"," n"," n"
59,0,401,3,59,1,1,1,0,559,2012,1491,79,"You transferred the chance Steve"," 12/22/2016"," comprehension    "," n"," n"," n"
60,0,401,3,60,1,0,0,1,620,2128,2138,15,"Anna transferred responsibility to you"," 12/22/2016"," comprehension    "," n"," n"," n"
61,0,401,3,61,0,1,1,1,0,0,1379,66,"You drank the house to Joe"," 12/22/2016"," comprehension    "," n"," n"," n"
62,0,401,3,62,0,1,1,1,0,0,1329,62,"You blew a lesson to Liz"," 12/22/2016"," comprehension    "," n"," n"," n"
63,0,401,3,63,0,0,1,0,279,1354,1236,44,"Brett saw you the bridge"," 12/22/2016"," comprehension    "," n"," n"," n"
64,0,401,3,64,0,0,0,0,0,0,1460,3,"Mark dealt the cards to you"," 12/22/2016"," comprehension    "," n"," n"," n"
65,0,401,3,65,1,1,0,1,325,2175,1837,31,"You bestowed the honor upon Art"," 12/22/2016"," comprehension    "," n"," n"," n"
66,0,401,3,66,1,0,0,1,283,1906,1724,17,"You received the complaint from Ian"," 12/22/2016"," comprehension    "," n"," n"," n"
67,0,401,3,67,1,1,0,0,0,0,1796,36,"You lavished Steve with praise"," 12/22/2016"," comprehension    "," n"," n"," n"
68,0,401,3,68,1,0,1,1,0,0,1268,52,"Katie ate the pizza to you"," 12/22/2016"," comprehension    "," n"," n"," n"
69,0,401,3,69,1,1,1,1,0,0,1861,71,"You lavished the responsibility Dan"," 12/22/2016"," comprehension    "," n"," n"," n"
70,0,401,3,70,0,1,0,0,0,0,2109,27,"You slid Sally the cafeteria tray"," 12/22/2016"," comprehension    "," n"," n"," n"
71,0,401,3,71,0,0,0,1,341,1638,1523,7,"Joe kicked you the soccer ball"," 12/22/2016"," comprehension    "," n"," n"," n"
72,0,401,3,72,0,1,0,0,0,0,1483,23,"You kicked the football to Jack"," 12/22/2016"," comprehension    "," n"," n"," n"
73,0,401,3,73,1,0,0,1,299,2211,2184,14,"The policeman radioed the message to you"," 12/22/2016"," comprehension    "," n"," n"," n"
