Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,key_resp.rt,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.29629848623957,43,A,left,0.02148149243119785,,,,,0,43,43,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.5630337999901,None,left,1,341.66301170003135,None,342.89648939995095,None,1.2058297999901697,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.65995719914972,142,B,right,0.0332997859957486,,,,,0,44,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.9802717999555,None,right,1,344.0802017999813,None,344.8972623000154,None,0.7966953000286594,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.2267152843478,106,A,left,0.021133576421739,,,,,0,45,45,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.98120679997373,None,left,1,346.0808760999935,None,347.014559000032,None,0.9155685000587255,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.55606479876494,356,B,right,0.032780323993824696,,,,,0,46,46,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.0983907999471,None,right,1,348.1982098999433,None,348.99846539995633,None,0.7820970999309793,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.72231115957378,315,B,right,0.033611555797868904,,,,,0,47,47,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.08232429996133,None,right,1,350.18242159998044,None,351.36597909999546,None,1.1663728000130504,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.28618689431499,83,B,right,0.031430934471574946,,,,,0,48,48,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.4495620999951,None,right,1,352.5496948999353,None,353.56669869995676,None,0.9911413999507204,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.4971422368198,197,B,right,0.032485711184099,,,,,0,49,49,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.65027999994345,None,right,1,354.7503545000218,None,355.56725730001926,None,0.7976545999990776,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.80175996963697,12,B,right,0.034008799848184855,,,,,0,50,50,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.65101919998415,None,right,1,356.7509803000139,None,357.88464419997763,None,1.1019460000097752,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.71175578163359,31,B,right,0.03355877890816795,,,,,0,51,51,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.96848569996655,None,right,1,359.068377199932,None,359.9853376999963,None,0.8956121999071911,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.24789942373688,349,A,left,0.0212394971186844,,,,,0,52,52,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.0690448000096,None,left,1,361.1691660999786,None,362.1360460999422,None,0.9488140000030398,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.4712730033142,283,B,right,0.032356365016571,,,,,0,53,53,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.2199120000005,None,right,1,363.3195969000226,None,364.03668290004134,None,0.7005126000149176,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.12863571896243,154,A,left,0.02064317859481215,,,,,0,54,54,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.1202841999475,None,left,1,365.220534699969,None,366.2540726000443,None,1.007961600087583,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.53675080106847,282,B,right,0.03268375400534235,,,,,0,55,55,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.3376552000409,None,right,1,367.4377123999875,None,368.45467829995323,None,0.9908840999705717,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.71540939151751,324,B,right,0.03357704695758755,,,,,0,56,56,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.53834049997386,None,right,1,369.63855939998757,None,370.43894130003173,None,0.7741529999766499,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.57101881998731,276,B,right,0.032855094099936547,,,,,0,57,57,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.522271099966,None,right,1,371.6222269999562,None,372.60603369993623,None,0.9583548000082374,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.05100711134529,302,A,left,0.020255035556726447,,,,,0,58,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.68967059999704,None,left,1,373.78978160000406,None,374.68993090000004,None,0.870934100006707,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.35783087071996,8,B,right,0.0317891543535998,,,,,0,59,59,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.77355479996186,None,right,1,375.87380880001,None,376.92403660004493,None,1.0269463999429718,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.1779342846006,292,A,left,0.020889671423003,,,,,0,60,60,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0075906999409,None,left,1,378.10778319998644,None,379.0912274000002,None,0.9531010000500828,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.23099506672041,228,A,left,0.021154975333602048,,,,,0,61,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.1750769999344,None,left,1,380.27507099998184,None,381.54256840003654,None,1.249848600011319,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.29098631103711,2,B,right,0.03145493155518555,,,,,0,62,62,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.62584330001846,None,right,1,382.72597369994037,None,383.77601379994303,None,1.0229841999243945,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.57678796817801,339,A,left,0.02288393984089005,,,,,0,63,63,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.85983510001097,None,left,1,384.959862699965,None,386.393421899993,None,1.4044706000713632,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.62736538341546,148,B,right,0.033136826917077304,,,,,0,64,64,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.4772843000246,None,right,1,387.5772875000257,None,388.4942505999934,None,0.8998572999844328,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.48954648904754,129,B,right,0.0324477324452377,,,,,0,65,65,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.5780841000378,None,right,1,389.6778697000118,None,390.7449478999479,None,1.0386847000336275,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.71184080000894,56,B,right,0.033559204000044696,,,,,0,66,66,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.82856029993854,None,right,1,391.9285373999737,None,392.89549329993315,None,0.9477490000426769,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
