Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,KeyRespPrueba.rt,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.7922772,None,space,2.9743623999999613,223.292482,None,,,,,,,,,,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.93234125901961,125.924868165109,F,right,0.03466170629509805,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.39299239999997,None,right,1,1.2853097000000275,226.49317420000006,None,227.81150940000003,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.02497359482055,122.628624380508,F,right,0.035124867974102754,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.89423530000005,None,left,0,0.43313910000000533,228.99416550000007,None,229.4446416,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.60367058960161,122.972561364095,F,right,0.033018352948008055,3,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.52782429999996,None,right,1,0.43901319999991983,230.62800710000005,None,231.09484479999998,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.09987877706183,125.373371597183,E,left,0.030499393885309152,4,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.17848329999998,None,left,1,0.8293130000000133,232.27877370000004,None,233.12887040000004,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.99246984832617,128.207849823814,E,left,0.02996234924163085,5,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.21250100000003,None,right,0,0.457974800000045,234.31252080000007,None,234.79613360000002,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.97116825735348,117.721009455833,E,left,0.029855841286767403,6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.87964690000007,None,left,1,0.4313687000000641,235.97986210000005,None,236.43000739999997,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.73943488968302,125.807525046009,F,right,0.0336971744484151,7,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.51347749999996,None,left,0,0.7331760999999801,237.61358020000006,None,238.36395350000004,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.10539554110955,131.136658346503,F,right,0.035526977705547746,8,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.44737190000006,None,right,1,0.34314860000000635,239.54759359999997,None,239.91417989999997,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.12217460351626,126.097885466808,E,left,0.0306108730175813,9,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.99744820000006,None,right,0,0.7293751999999927,241.09760109999996,None,241.848047,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.56505551233152,123.664663304171,E,left,0.0278252775616576,10,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.9315165,None,left,1,0.7074630000000184,243.03151099999997,None,243.76518419999996,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.91037757272398,127.915093901674,E,left,0.0295518878636199,11,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.84912530000003,None,right,0,0.6048473999999828,244.9495265,None,245.58924710000002,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
