Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3.97308644904996,130.600474201337,C,left,0.0198654322452498,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.66707370000222,49.07092919999923,None,48.9707015999993,None,49.75458140000046,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
4.33655731695023,122.266729602767,C,left,0.02168278658475115,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,1.2959279000024253,50.93804359999922,None,50.83810060000178,None,52.257067099999404,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
4.36292548452127,122.048955725982,C,left,0.02181462742260635,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.19426839999869117,53.455406400000356,None,53.35520800000086,None,53.67214579999927,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
6.21753476784453,124.977612727287,D,right,0.03108767383922265,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.0014871999992465135,54.8566127999984,None,54.7567134000019,None,54.889964099998906,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
4.37409266459488,120.871756794389,C,left,0.021870463322974397,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.016576599999098107,56.07364840000082,None,55.97359580000193,None,56.10729790000187,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
6.0389343246197,124.824012507754,D,right,0.030194671623098503,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.1270608999984688,57.29065669999909,None,57.19071990000157,None,57.44074719999844,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
6.00539778672543,121.531819967067,D,right,0.03002698893362715,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.08159240000168211,58.624260600001435,None,58.52453489999971,None,58.724231000000145,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
6.03311475641765,125.747387448784,D,right,0.03016557378208825,19,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.16712860000188812,59.90820420000091,None,59.808166800001345,None,60.10824280000088,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
5.92116904802556,124.69145744445,D,right,0.029605845240127802,20,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.19038799999907496,61.29182299999957,None,61.191885600001115,None,61.508653900000354,None,,,,,,,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.02578379999977,None,space,0.8115550000002258,63.52613689999998,None,AntonellaMarabotto,001,2022-11-15_16h47.03.391,PruebaGabor2,2022.1.3,60.11779480695534,
