Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.28989131572139,118,A,left,0.021449456578606953,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.6966567998751998,200.38493450009264,None,200.28449170012027,None,202.10216509993188,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.49953455417403,74,B,right,0.03249767277087015,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.0598207998555154,203.2859793000389,None,203.1859170999378,None,204.3699741999153,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.17843512507528,241,A,left,0.020892175625376402,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.431708199903369,205.5533585001249,None,205.45345450006425,None,207.00375990010798,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.13049851653438,15,B,right,0.0306524925826719,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.8947517999913543,208.18809979991056,None,208.087499700021,None,209.10447559994645,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.3885152373554,293,A,left,0.021942576186777002,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.72121959971264,210.2881638999097,None,210.18933299998753,None,212.03879310004413,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.62334361253407,110,B,right,0.03311671806267035,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.7630002999212593,213.22235470009036,None,213.12239730008878,None,214.00611640000716,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.17504873370622,127,A,left,0.020875243668531097,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.6832946997601539,215.18986280006357,None,215.08954300009646,None,215.89002820011228,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.42492405285687,287,B,right,0.03212462026428435,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.6154188998043537,217.07355870003812,None,216.97375599993393,None,217.70762509992346,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.371803479359,312,B,right,0.031859017396795,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.6626335000619292,218.89095879998058,None,218.79088170011528,None,219.57444710005075,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.2515157424853,200,A,left,0.021257578712426502,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.6504705999977887,220.75844749994576,None,220.65812949999236,None,221.4418051999528,None,,,,,,,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
