"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",Grupo,,
142,0,402,2,62,1,1,0,1,395,1746,1637,22,"You donated money to Vincent","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",109,Grupo A,,
143,0,402,2,63,1,0,0,1,425,1709,1433,4,"Amber drove the car to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",276,Grupo A,,
145,0,402,2,65,0,0,0,1,399,1456,1022,19,"He taught you a lesson","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",434,Grupo A,,
147,0,402,2,67,1,0,0,1,369,1748,1559,8,"Courtney handed you the notebook","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",189,Grupo A,,
149,0,402,2,69,1,0,0,1,299,1743,1534,2,"Helen awarded a medal to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",209,Grupo A,,
152,0,402,2,72,0,1,0,1,365,2175,2065,34,"You radioed the message to the policeman","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",110,Grupo A,,
153,0,402,2,73,0,0,0,1,349,1997,1472,20,"Andy pitched you the idea","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",525,Grupo A,,
158,0,402,2,78,1,1,0,1,469,2112,1186,26,"You threw Diane the pen","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",926,Grupo A,,
159,0,402,2,79,0,0,0,1,446,1858,1696,13,"John dedicated the song to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",162,Grupo A,,
161,1,403,4,1,0,1,0,1,269,1824,1635,35,"You gave Jesse another chance","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",189,Grupo A,,
162,0,403,4,2,1,0,0,1,245,1676,1460,3,"Mark dealt the cards to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",216,Grupo A,,
165,0,403,4,5,0,1,0,1,293,2020,1579,37,"You offered Chris some writing tips","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",441,Grupo A,,
166,0,403,4,6,0,1,0,1,285,2228,1647,32,"You devoted your time to Tiana","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",581,Grupo A,,
170,0,403,4,10,0,1,0,1,247,2588,1837,31,"You bestowed the honor upon Art","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",751,Grupo A,,
172,0,403,4,12,0,0,0,1,278,3209,1724,17,"You received the complaint from Ian","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",1485,Grupo A,,
