"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
121,0,402,2,41,1,1,0,1,615,2603,1645,27,"You kicked Joe the soccer ball",958,1,Grupo A,Grupo A,Grupo B
122,0,402,2,42,0,0,0,1,430,1975,1746,12,"Tiana devoted her time to you",229,1,Grupo A,Grupo A,Grupo B
123,0,402,2,43,0,1,0,1,370,2352,1724,37,"Ian received the complaint from you",628,0,Grupo A,Grupo A,Grupo B
132,0,402,2,52,0,0,0,1,202,2625,1698,15,"Jesse gave you another chance",927,1,Grupo A,Grupo A,Grupo B
133,0,402,2,53,1,0,0,1,439,2841,1704,10,"Adam conveyed the message to you",1137,0,Grupo A,Grupo A,Grupo B
135,0,402,2,55,0,0,0,1,452,2450,1805,11,"Art bestowed the honor upon you",645,1,Grupo A,Grupo A,Grupo B
138,0,402,2,58,0,0,0,1,620,1528,1369,14,"Jenni sang you a song",159,1,Grupo A,Grupo A,Grupo B
139,0,402,2,59,0,1,0,1,621,1631,1371,32,"You sold the land to Mike",260,0,Grupo A,Grupo A,Grupo B
141,0,402,2,61,1,1,0,1,554,2765,1620,28,"You shot Shawn the rubber band",1145,1,Grupo A,Grupo A,Grupo B
142,0,402,2,62,1,1,0,1,395,1746,1637,22,"You donated money to Vincent",109,1,Grupo A,Grupo A,Grupo B
143,0,402,2,63,1,0,0,1,425,1709,1433,4,"Amber drove the car to you",276,0,Grupo A,Grupo A,Grupo B
145,0,402,2,65,0,0,0,1,399,1456,1022,19,"He taught you a lesson",434,1,Grupo A,Grupo A,Grupo B
147,0,402,2,67,1,0,0,1,369,1748,1559,8,"Courtney handed you the notebook",189,0,Grupo A,Grupo A,Grupo B
149,0,402,2,69,1,0,0,1,299,1743,1534,2,"Helen awarded a medal to you",209,0,Grupo A,Grupo A,Grupo B
152,0,402,2,72,0,1,0,1,365,2175,2065,34,"You radioed the message to the policeman",110,0,Grupo A,Grupo A,Grupo B
153,0,402,2,73,0,0,0,1,349,1997,1472,20,"Andy pitched you the idea",525,1,Grupo A,Grupo A,Grupo B
158,0,402,2,78,1,1,0,1,469,2112,1186,26,"You threw Diane the pen",926,1,Grupo A,Grupo A,Grupo B
159,0,402,2,79,0,0,0,1,446,1858,1696,13,"John dedicated the song to you",162,1,Grupo A,Grupo A,Grupo B
