trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dots.started,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.408415399999285,None,hjb,001,2021_Mar_04_1712,puntos,2021.1.0,60.01882190219533,
1,0,1,0,9.39739499999996,None,hjb,001,2021_Mar_04_1712,puntos,2021.1.0,60.01882190219533,
2,0,2,0,10.394667099999424,None,hjb,001,2021_Mar_04_1712,puntos,2021.1.0,60.01882190219533,
3,0,3,0,11.395109600000069,None,hjb,001,2021_Mar_04_1712,puntos,2021.1.0,60.01882190219533,
4,0,4,0,12.391281099999105,None,hjb,001,2021_Mar_04_1712,puntos,2021.1.0,60.01882190219533,
