trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dots.started,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.714478100000633,None,sdfsd,001,2021_Mar_04_1710,puntos,2021.1.0,59.848630842924926,
1,0,1,0,8.69711180000013,None,sdfsd,001,2021_Mar_04_1710,puntos,2021.1.0,59.848630842924926,
2,0,2,0,9.6958637000007,None,sdfsd,001,2021_Mar_04_1710,puntos,2021.1.0,59.848630842924926,
3,0,3,0,10.694583099999363,None,sdfsd,001,2021_Mar_04_1710,puntos,2021.1.0,59.848630842924926,
4,0,4,0,11.709127800000715,None,sdfsd,001,2021_Mar_04_1710,puntos,2021.1.0,59.848630842924926,
