trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,dots.started,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.677290699999503,None,sds,001,2021_Mar_04_1731,puntos,2021.1.0,60.093048075615776,
1,0,1,0,10.669363299999532,None,sds,001,2021_Mar_04_1731,puntos,2021.1.0,60.093048075615776,
2,0,2,0,13.664185999999972,None,sds,001,2021_Mar_04_1731,puntos,2021.1.0,60.093048075615776,
