"ID","CueDirection","SentenceDirection","MoveTime","Grupo","SentDur"
406,1,0,393,Grupo B,1233
406,1,0,338,Grupo B,1523
406,1,0,490,Grupo B,1473
406,0,0,2677,Grupo B,1002
406,0,1,468,Grupo B,1579
406,1,1,486,Grupo B,1321
406,1,0,1152,Grupo B,1460
406,1,1,315,Grupo B,1293
406,1,0,352,Grupo B,1347
407,0,1,2533,Grupo B,1620
407,0,0,463,Grupo B,1534
407,0,0,239,Grupo B,1559
407,1,0,380,Grupo B,1698
407,0,1,228,Grupo B,1637
407,0,0,30,Grupo B,1489
407,1,1,307,Grupo B,1310
407,1,1,575,Grupo B,1724
407,0,1,278,Grupo B,1186
407,0,0,284,Grupo B,1503
407,0,1,362,Grupo B,1567
407,1,1,397,Grupo B,2065
407,1,1,306,Grupo B,1371
407,1,0,300,Grupo B,1746
407,1,0,370,Grupo B,1696
407,1,0,254,Grupo B,1369
407,1,1,558,Grupo B,2034
407,0,0,238,Grupo B,1322
407,1,0,263,Grupo B,1022
407,0,0,261,Grupo B,1875
407,0,1,260,Grupo B,1364
407,1,1,275,Grupo B,1600
407,0,1,316,Grupo B,1634
407,1,1,293,Grupo B,1856
407,0,0,279,Grupo B,1433
407,0,1,281,Grupo B,1427
407,1,0,308,Grupo B,1508
407,0,1,245,Grupo B,1422
407,0,0,185,Grupo B,1704
407,1,1,571,Grupo B,1182
407,1,0,344,Grupo B,1390
407,1,0,589,Grupo B,1733
407,0,1,294,Grupo B,1936
407,1,1,313,Grupo B,1270
407,0,1,341,Grupo B,1645
407,1,0,731,Grupo B,1805
407,0,0,438,Grupo B,1396
408,0,1,380,Grupo A,1856
408,0,1,262,Grupo A,1270
408,0,1,302,Grupo A,1371
408,0,0,251,Grupo A,1390
408,0,0,604,Grupo A,1696
408,1,0,235,Grupo A,1559
408,0,1,267,Grupo A,2034
408,0,0,325,Grupo A,1508
408,1,1,412,Grupo A,1422
408,0,0,284,Grupo A,1746
408,0,1,166,Grupo A,1407
408,1,1,312,Grupo A,1186
408,0,1,315,Grupo A,2065
408,1,1,301,Grupo A,1637
408,1,0,250,Grupo A,1704
408,1,0,488,Grupo A,1322
408,0,1,273,Grupo A,1600
408,0,0,251,Grupo A,1805
