"ptid","CueDirection","SentenceDirection","LiftOffLatency","Grupo","SentDur"
406,1,0,2645,Grupo B,1623
406,1,1,3700,Grupo B,1511
406,1,0,2970,Grupo B,1684
406,0,1,3006,Grupo B,1837
406,0,0,1646,Grupo B,1501
406,1,1,2166,Grupo B,1483
406,1,1,2089,Grupo B,1681
406,0,1,2423,Grupo B,1507
406,1,0,2062,Grupo B,1693
406,0,0,1707,Grupo B,1371
406,1,0,1697,Grupo B,1233
406,1,0,2006,Grupo B,1523
406,1,0,1952,Grupo B,1473
406,0,0,177,Grupo B,1002
406,0,1,1894,Grupo B,1579
406,1,1,1949,Grupo B,1321
406,1,0,2316,Grupo B,1460
406,1,1,1784,Grupo B,1293
406,1,0,2403,Grupo B,1347
407,0,1,2885,Grupo A,1620
407,0,0,2474,Grupo A,1534
407,0,0,2278,Grupo A,1559
407,1,0,1678,Grupo A,1698
407,0,1,2244,Grupo A,1637
407,0,0,2471,Grupo A,1489
407,1,1,1865,Grupo A,1310
407,1,1,1989,Grupo A,1724
407,0,1,1900,Grupo A,1186
407,0,0,2031,Grupo A,1503
407,0,1,2022,Grupo A,1567
407,1,1,2320,Grupo A,2065
407,1,1,2469,Grupo A,1371
407,1,0,2349,Grupo A,1746
407,1,0,2309,Grupo A,1696
407,1,0,464,Grupo A,1369
407,1,1,338,Grupo A,2034
407,0,0,606,Grupo A,1322
407,1,0,484,Grupo A,1022
407,0,0,491,Grupo A,1875
407,0,1,414,Grupo A,1364
407,1,1,423,Grupo A,1600
407,0,1,460,Grupo A,1634
407,1,1,533,Grupo A,1856
407,0,0,362,Grupo A,1433
407,0,1,568,Grupo A,1427
407,1,0,492,Grupo A,1508
407,0,1,448,Grupo A,1422
407,0,0,696,Grupo A,1704
407,1,1,247,Grupo A,1182
407,1,0,315,Grupo A,1390
407,1,0,238,Grupo A,1733
407,0,1,332,Grupo A,1936
407,1,1,281,Grupo A,1270
407,0,1,281,Grupo A,1645
407,1,0,244,Grupo A,1805
407,0,0,181,Grupo A,1396
408,0,1,2225,Grupo B,1856
408,0,1,1870,Grupo B,1270
408,0,1,1768,Grupo B,1371
408,0,0,2685,Grupo B,1390
408,0,0,2189,Grupo B,1696
408,1,0,2622,Grupo B,1559
408,0,1,2745,Grupo B,2034
408,0,0,2243,Grupo B,1508
408,1,1,2795,Grupo B,1422
408,0,0,2148,Grupo B,1746
408,0,1,2511,Grupo B,1407
408,1,1,1911,Grupo B,1186
408,0,1,2612,Grupo B,2065
408,1,1,2240,Grupo B,1637
408,1,0,2805,Grupo B,1704
408,1,0,2024,Grupo B,1322
408,0,1,2554,Grupo B,1600
408,0,0,2991,Grupo B,1805
408,1,1,2108,Grupo B,1567
408,1,0,2076,Grupo B,1503
408,0,0,1770,Grupo B,1369
408,1,0,1806,Grupo B,1489
408,0,1,1669,Grupo B,1310
408,0,0,1465,Grupo B,1022
409,0,0,2597,Grupo B,1501
409,0,0,1596,Grupo B,1277
409,0,1,1955,Grupo B,1635
409,1,1,1627,Grupo B,1321
409,1,0,1935,Grupo B,1693
409,0,0,2101,Grupo B,1304
409,0,0,2823,Grupo B,2184
409,1,0,2813,Grupo B,1523
409,0,1,2487,Grupo B,1507
409,0,1,2635,Grupo B,1579
409,1,1,3775,Grupo B,1485
409,1,0,2256,Grupo B,1579
409,0,0,2437,Grupo B,1874
409,0,0,2586,Grupo B,1647
409,1,1,2093,Grupo B,1439
409,0,0,2611,Grupo B,2138
409,1,1,2190,Grupo B,1681
409,0,0,1817,Grupo B,1002
409,0,1,1668,Grupo B,1126
409,1,0,2029,Grupo B,1460
409,1,1,2852,Grupo B,2109
409,1,0,2028,Grupo B,1473
409,1,1,2053,Grupo B,1744
409,1,1,2207,Grupo B,1746
409,0,1,3526,Grupo B,1837
409,0,0,2088,Grupo B,1371
409,0,1,2023,Grupo B,1390
409,0,1,1801,Grupo B,1639
409,0,0,2078,Grupo B,1724
409,1,1,1933,Grupo B,1293
409,1,0,1990,Grupo B,1623
409,1,0,1999,Grupo B,1646
409,1,1,1824,Grupo B,1511
409,1,0,1983,Grupo B,1347
409,1,0,2910,Grupo B,1684
409,1,1,1826,Grupo B,1483
410,0,0,2351,Grupo B,1390
410,0,0,2675,Grupo B,1508
410,0,1,1958,Grupo B,1310
410,0,0,2234,Grupo B,1369
410,1,0,2953,Grupo B,1926
410,0,1,2599,Grupo B,2034
410,0,0,1955,Grupo B,1472
410,1,0,2043,Grupo B,1322
410,0,1,1928,Grupo B,1856
410,1,1,2478,Grupo B,1936
410,0,1,2642,Grupo B,1724
410,1,1,3634,Grupo B,1427
410,1,1,4653,Grupo B,1620
410,1,0,2448,Grupo B,1396
410,0,1,4011,Grupo B,2065
410,0,1,1828,Grupo B,1270
410,1,0,2703,Grupo B,1559
410,0,0,2171,Grupo B,1746
410,1,1,2077,Grupo B,1637
410,1,1,3514,Grupo B,1422
410,0,0,2239,Grupo B,1696
410,0,0,1848,Grupo B,1698
410,0,1,2035,Grupo B,1407
410,1,1,2441,Grupo B,1645
410,1,0,1943,Grupo B,1503
410,0,0,3680,Grupo B,1805
410,1,0,3039,Grupo B,1875
410,1,0,2208,Grupo B,1534
410,1,1,3802,Grupo B,1364
410,1,1,2077,Grupo B,1567
410,0,1,1708,Grupo B,1371
410,0,1,2104,Grupo B,1600
411,1,1,1849,Grupo A,1635
411,1,0,1556,Grupo A,1002
411,0,0,1869,Grupo A,1693
411,1,0,1732,Grupo A,1371
411,1,1,1507,Grupo A,1126
411,0,1,1809,Grupo A,1483
411,0,1,1961,Grupo A,1681
411,0,0,2099,Grupo A,1623
411,1,1,1760,Grupo A,1390
411,1,0,2377,Grupo A,1647
411,1,0,1591,Grupo A,1277
411,0,1,3353,Grupo A,2109
411,0,1,2795,Grupo A,1746
411,0,1,1642,Grupo A,1439
411,1,1,2240,Grupo A,1647
411,0,1,1772,Grupo A,1511
411,0,0,2327,Grupo A,1579
411,0,0,2106,Grupo A,1460
411,0,1,1763,Grupo A,1293
411,1,0,2770,Grupo A,2184
411,0,0,1894,Grupo A,1523
411,1,0,1984,Grupo A,1304
411,0,1,1546,Grupo A,1321
411,0,0,1641,Grupo A,1473
411,0,0,1829,Grupo A,1684
411,1,0,2530,Grupo A,2138
411,1,1,2173,Grupo A,1507
411,1,1,217,Grupo A,1579
411,1,0,1941,Grupo A,1501
411,1,0,2312,Grupo A,1874
411,0,0,2457,Grupo A,1646
411,1,1,2313,Grupo A,1307
411,0,0,1885,Grupo A,1347
411,0,0,1952,Grupo A,1233
411,1,0,2080,Grupo A,1724
411,1,1,1752,Grupo A,1639
411,1,1,2481,Grupo A,1837
412,0,1,1950,Grupo A,1567
412,1,0,1615,Grupo A,1369
412,1,0,1294,Grupo A,1022
412,0,1,1950,Grupo A,1634
412,0,0,2210,Grupo A,1489
412,1,1,2223,Grupo A,2034
412,1,1,1510,Grupo A,1310
412,1,0,2112,Grupo A,1733
412,1,0,1646,Grupo A,1698
412,1,1,1880,Grupo A,1407
412,0,0,1716,Grupo A,1503
412,0,1,2139,Grupo A,1620
412,1,1,1750,Grupo A,1182
412,0,1,2181,Grupo A,1364
412,0,0,2323,Grupo A,1322
412,1,0,2172,Grupo A,1508
412,0,1,1358,Grupo A,1186
412,0,0,2122,Grupo A,1875
412,0,0,1966,Grupo A,1534
412,0,1,1818,Grupo A,1427
412,1,1,2440,Grupo A,1600
412,1,1,1697,Grupo A,1371
412,0,0,1879,Grupo A,1704
412,0,0,1524,Grupo A,1396
412,0,1,3210,Grupo A,1645
412,1,1,2020,Grupo A,1856
412,1,1,2317,Grupo A,1724
412,0,0,1751,Grupo A,1559
412,0,0,2220,Grupo A,1926
412,1,0,1851,Grupo A,1390
412,0,1,1880,Grupo A,1637
412,0,0,2406,Grupo A,1433
412,1,0,1656,Grupo A,1472
412,1,0,1971,Grupo A,1696
412,0,1,1728,Grupo A,1422
413,1,0,2584,Grupo B,1647
413,0,1,4052,Grupo B,1744
413,0,0,2640,Grupo B,1623
413,0,0,1901,Grupo B,1233
413,0,1,3264,Grupo B,2109
413,0,0,2509,Grupo B,1347
413,1,1,1414,Grupo B,1126
413,0,0,2166,Grupo B,1646
413,1,1,2003,Grupo B,1579
413,1,0,2155,Grupo B,1501
413,0,0,2351,Grupo B,1579
413,1,0,1850,Grupo B,1724
413,0,0,2460,Grupo B,1523
413,1,0,1732,Grupo B,1304
413,0,1,1918,Grupo B,1293
413,0,0,2111,Grupo B,1684
413,1,1,1898,Grupo B,1639
413,0,1,2178,Grupo B,1485
413,0,1,2350,Grupo B,1483
413,0,0,1922,Grupo B,1473
413,1,1,1809,Grupo B,1507
413,1,0,2233,Grupo B,1002
413,0,1,1711,Grupo B,1511
413,0,1,1820,Grupo B,1681
413,1,1,2174,Grupo B,1307
413,1,1,2084,Grupo B,1390
413,1,0,2472,Grupo B,2138
413,1,1,2145,Grupo B,1837
413,1,0,2626,Grupo B,1874
413,1,1,2067,Grupo B,1635
413,0,1,3232,Grupo B,1321
413,1,1,1692,Grupo B,1647
413,0,1,1668,Grupo B,1439
413,1,0,4479,Grupo B,1277
413,1,0,2825,Grupo B,2184
414,0,0,1437,Grupo A,1371
414,0,0,4289,Grupo A,1647
414,0,1,1984,Grupo A,1837
414,1,1,1937,Grupo A,2109
414,0,0,1489,Grupo A,1277
414,0,1,2452,Grupo A,1579
414,1,0,1815,Grupo A,1623
414,1,1,1789,Grupo A,1321
414,1,0,1740,Grupo A,1473
414,0,0,2702,Grupo A,1874
414,0,0,2436,Grupo A,1501
414,0,1,2302,Grupo A,1639
414,1,1,1759,Grupo A,1511
414,1,0,1722,Grupo A,1347
414,1,1,2617,Grupo A,1681
414,1,0,1840,Grupo A,1579
414,0,0,2344,Grupo A,2138
414,0,1,1977,Grupo A,1390
414,0,1,1998,Grupo A,1635
414,0,1,2378,Grupo A,1126
415,1,1,2005,Grupo A,1724
415,1,0,1900,Grupo A,1022
415,1,0,2175,Grupo A,1698
415,1,0,2549,Grupo A,1390
415,1,1,1662,Grupo A,1270
415,1,1,1722,Grupo A,1371
415,1,0,1610,Grupo A,1369
415,0,0,2052,Grupo A,1489
415,1,1,1761,Grupo A,1407
415,0,0,1721,Grupo A,1503
415,1,0,2184,Grupo A,1508
415,0,0,3126,Grupo A,1926
415,1,1,2746,Grupo A,1856
415,1,0,3165,Grupo A,1733
415,0,1,1596,Grupo A,1186
415,1,0,2003,Grupo A,1696
415,0,0,1825,Grupo A,1534
415,0,0,1600,Grupo A,1396
415,0,1,1988,Grupo A,1637
415,1,1,2103,Grupo A,1310
415,0,0,1837,Grupo A,1704
415,0,1,1827,Grupo A,1567
415,0,1,2159,Grupo A,1645
415,1,1,2827,Grupo A,2065
415,1,1,1827,Grupo A,1600
415,0,1,2254,Grupo A,1634
415,0,0,2547,Grupo A,1559
415,0,1,2480,Grupo A,1427
415,1,0,2154,Grupo A,1746
415,0,0,4119,Grupo A,1322
416,0,0,2022,Grupo A,1733
416,0,1,1902,Grupo A,1600
416,0,0,2086,Grupo A,1805
416,1,1,1684,Grupo A,1637
416,0,0,1815,Grupo A,1369
416,0,1,2163,Grupo A,2034
416,0,1,1631,Grupo A,1270
416,0,0,1383,Grupo A,1022
416,0,1,1584,Grupo A,1371
416,1,1,1726,Grupo A,1567
416,0,1,1588,Grupo A,1310
416,1,0,1860,Grupo A,1704
416,1,1,1647,Grupo A,1620
416,0,0,1791,Grupo A,1746
416,1,1,1810,Grupo A,1427
416,1,0,1742,Grupo A,1503
416,1,0,2781,Grupo A,1534
416,0,0,1897,Grupo A,1508
416,0,1,2502,Grupo A,2065
416,1,0,1951,Grupo A,1433
416,1,1,1901,Grupo A,1634
416,0,0,1590,Grupo A,1696
416,0,0,1918,Grupo A,1472
416,1,0,1643,Grupo A,1322
416,0,1,1897,Grupo A,1724
416,1,1,2212,Grupo A,1645
416,1,0,1808,Grupo A,1559
416,0,0,1670,Grupo A,1698
416,1,0,2561,Grupo A,1926
416,1,1,1643,Grupo A,1186
416,0,1,1994,Grupo A,1856
416,1,0,1556,Grupo A,1396
416,0,1,1663,Grupo A,1407
417,0,1,1823,Grupo B,1390
417,0,1,1523,Grupo B,1126
417,0,0,1998,Grupo B,1647
417,1,0,1813,Grupo B,1460
417,0,0,1553,Grupo B,1277
417,0,0,1976,Grupo B,1724
417,1,0,1867,Grupo B,1523
417,1,1,1995,Grupo B,1744
417,1,1,1790,Grupo B,1321
417,1,1,1877,Grupo B,1439
417,1,1,2148,Grupo B,1511
417,1,1,2496,Grupo B,1485
417,1,0,2144,Grupo B,1579
417,0,1,2565,Grupo B,1639
417,0,1,2134,Grupo B,1635
417,1,1,2891,Grupo B,1293
417,0,1,2812,Grupo B,1796
417,0,0,2675,Grupo B,2184
417,0,1,2434,Grupo B,1647
417,1,1,2271,Grupo B,1746
417,1,0,2437,Grupo B,1347
417,1,0,2457,Grupo B,1684
417,0,0,2211,Grupo B,1501
417,0,0,2736,Grupo B,2138
417,1,0,2140,Grupo B,1693
417,0,1,3146,Grupo B,1579
417,0,0,2004,Grupo B,1304
417,0,1,2702,Grupo B,1837
417,1,1,2166,Grupo B,1681
417,0,0,2651,Grupo B,1371
418,1,1,2171,Grupo A,1620
418,1,0,1898,Grupo A,1433
418,0,0,2019,Grupo A,1472
418,0,1,2208,Grupo A,1856
418,0,1,2438,Grupo A,2034
418,0,1,1978,Grupo A,1371
418,1,1,1919,Grupo A,1634
418,0,0,1725,Grupo A,1390
418,0,0,1991,Grupo A,1508
