Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.78340199446218,0.990336450824386,A,99.03364508243861,0.0289170099723109,left,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.5062619999989693,45.0390275000027,None,44.93891790000271,None,45.57297290000133,None,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0735937999998,None,space,0.8025375999968674,47.57470140000078,None,,,,,,,,,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
5.62357944791498,0.943698663452456,A,94.3698663452456,0.0281178972395749,Left,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.52383530000225,51.52480600000126,None,0,48.62402120000115,None,51.61157390000153,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
5.69097957372747,0.960710372331322,A,96.07103723313219,0.028454897868637353,Left,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.691904900002555,55.69275700000071,None,0,52.791794700002356,None,55.7928095999996,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
5.70302277314696,0.969982272857429,A,96.9982272857429,0.028515113865734798,Left,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.876572600001964,59.87754119999954,None,0,56.976481600002444,None,59.977418400001625,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
6.7712490071334,0.602038916028961,B,60.2038916028961,0.033856245035667,Right,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.06116000000111,64.06210970000029,None,0,61.16172650000226,None,64.1620275000023,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
6.78591396694264,0.609681458205986,B,60.96814582059859,0.0339295698347132,Right,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.24581519999992,68.24661449999985,None,0,65.34583890000067,None,68.34688480000113,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
5.7861300224522,0.988906484298624,A,98.89064842986241,0.028930650112261,Left,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.43049339999925,72.43129890000273,None,0,69.5304638000016,None,72.53141809999943,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
6.74037109471642,0.595246124615583,B,59.5246124615583,0.0337018554735821,Right,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6151299000012,76.61593899999934,None,0,73.71498880000217,None,76.71617780000088,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
5.70147029690313,0.965086685933335,A,96.5086685933335,0.02850735148451565,Left,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79977730000246,80.80068650000248,None,0,77.8996752000021,None,80.90076820000104,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
5.69237402243448,0.965006797142118,A,96.5006797142118,0.0284618701121724,Left,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.98405760000242,84.98519300000044,None,0,82.08434190000116,None,85.08522920000178,None,AntonellaMarabotto,001,2022-11-15_14h24.51.185,PruebaGabor2,2022.1.3,60.14816899908217,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.16892050000024,89.16961939999965,None,0,86.26890220000132,None,,,,,,,,,
