Frecuencia,Orientaciondecimal,Categoria,Tecla,FrecuenciaEspacial,Orientacion,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.57712781199267,0.975491106988489,B,right,0.02788563905996335,97.54911069884889,0,0,0,0,16.894405200000165,18.62712730000021,18.62712730000021,24.530347599999914,24.530347599999914,28.066270799999984,28.066270799999984,33.16634449999992,33.16634449999992,None,right,1,0.42547000000013213,37.3673017000001,None,37.26733289999993,None,37.82077870000012,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
5.4869442439558,0.949022219665164,B,right,0.027434721219779,94.9022219665164,0,1,1,1,,,,,,,,,,,right,1,0.7442481000002772,39.01710529999991,None,38.91699349999999,None,39.784162800000104,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
6.15639889943508,0.999627193651374,A,left,0.030781994497175398,99.9627193651374,0,2,2,2,,,,,,,,,,,left,1,0.6583583000001454,40.96826999999985,None,40.86819259999993,None,41.651779700000134,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
6.09936893844483,0.980818366785522,A,left,0.03049684469222415,98.08183667855221,0,3,3,3,,,,,,,,,,,right,0,1.0135572999997748,42.83577640000021,None,42.735440800000106,None,43.87370819999978,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
5.46642350449983,0.933260801891464,B,right,0.02733211752249915,93.3260801891464,0,4,4,4,,,,,,,,,,,right,1,0.5312627000002976,45.06963850000011,None,44.969676400000026,None,45.622496500000125,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
5.95986429271874,0.931750385432081,A,left,0.029799321463593702,93.1750385432081,0,5,5,5,,,,,,,,,,,left,1,0.6374932000003355,46.820260999999846,None,46.71996889999991,None,47.48700030000009,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
5.68008130248585,1.00694046498891,B,right,0.02840040651242925,100.694046498891,0,6,6,6,,,,,,,,,,,right,1,0.785731200000555,48.65599139999995,None,48.570747499999925,None,49.47154120000005,None,AntonellaM Bis,001,2023-07-20_12h13.13.289,PruebaGabor2,2022.1.3,59.90269406366271,
,,,,,,,,,,,,,,,,,,,,left,1,0.7060494000002109,50.6548914,None,50.5546803000002,None,,,,,,,,,
