Frecuencia,Orientaciondecimal,Categoria,Tecla,FrecuenciaEspacial,Orientacion,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,KeyRespPrueba.rt,participant,session,date,expName,psychopyVersion,frameRate,
6.12015737910944,0.960355341119567,A,left,0.015300393447773598,96.0355341119567,0,0,0,0,22.735514499945566,24.61907869996503,24.61907869996503,25.186110500013456,25.186110500013456,26.253071499988437,26.253071499988437,27.5366936000064,27.5366936000064,None,None,0,31.738076800014824,None,31.638204799965024,34.63864589994773,34.760528999962844,None,,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
5.80474231627537,0.973560272222272,B,right,0.014511855790688427,97.3560272222272,0,1,1,1,,,,,,,,,,,right,1,35.92252559994813,None,35.82249579997733,None,36.60822569997981,None,0.6588114000624046,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
5.72673654075559,0.957490584769043,B,right,0.014316841351888977,95.74905847690431,0,2,2,2,,,,,,,,,,,right,1,37.80654739995953,None,37.706511199939996,None,38.8902329999255,None,1.0547988000325859,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
6.08635969142881,0.950826717019596,A,left,0.015215899228572026,95.0826717019596,0,3,3,3,,,,,,,,,,,right,0,40.07431029994041,None,39.974457799922675,None,40.69839229993522,None,0.5875106999883428,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
6.18055084207957,0.975046060904673,A,left,0.015451377105198925,97.5046060904673,0,4,4,4,,,,,,,,,,,right,0,41.89122899994254,None,41.79130349995103,None,42.92492959997617,None,1.0105684000300243,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
5.73387135997741,0.963799584746463,B,right,0.014334678399943526,96.3799584746463,0,5,5,5,,,,,,,,,,,left,0,44.10899330000393,None,44.00862530001905,None,45.44227190001402,None,1.3125575999729335,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
5.71342981255569,0.951064757265215,B,right,0.014283574531389225,95.1064757265215,0,6,6,6,,,,,,,,,,,left,0,46.62602319999132,None,46.525955499964766,None,47.593044099980034,None,0.9397701999405399,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
6.14443638308499,0.962063258139216,A,left,0.015361090957712476,96.2063258139216,0,7,7,7,,,,,,,,,,,right,0,48.77670429996215,None,48.67689539992716,None,50.594008399988525,None,1.7965477000689134,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
6.07046245632115,0.936864268762146,A,left,0.015176156140802874,93.6864268762146,0,8,8,8,,,,,,,,,,,right,0,51.777817499940284,None,51.677720599924214,None,52.76131059997715,None,0.9636421999894083,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
5.70907130155516,0.941841048682442,B,right,0.0142726782538879,94.1841048682442,0,9,9,9,,,,,,,,,,,right,1,53.94522260001395,None,53.845028699957766,None,54.67986649996601,None,0.7164603000273928,AntoM,001,2023-10-20_15h10.02.354,PruebaGabor2,2022.1.3,59.92351365865045,
