Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.75266988645415,0.981868948378523,A,98.18689483785231,0.02876334943227075,left,,0,0,0,0,,,,,14.533619200003159,15.0488073000015,15.0488073000015,15.615958800000953,15.615958800000953,17.216255200000887,17.216255200000887,18.28312670000014,18.28312670000014,None,right,0,0.6519248000004154,22.484554800001206,None,22.384407600002305,None,23.171001500002603,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.63503896122014,0.942857344714462,A,94.2857344714462,0.028175194806100697,left,,0,1,1,1,,,,,,,,,,,,,,,left,1,0.8634044999962498,24.368651300002966,None,24.26865220000036,None,25.254937900001096,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.75349902682942,0.976843040460124,A,97.6843040460124,0.0287674951341471,left,,0,2,2,2,,,,,,,,,,,,,,,left,1,1.5148131999994803,26.452857600001153,None,26.35284600000159,None,27.986848000000464,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
6.76753116765003,0.60647052076609,B,60.647052076609,0.03383765583825015,right,,0,3,3,3,,,,,,,,,,,,,,,right,1,0.518748799997411,29.17040790000101,None,29.070354900002712,None,29.720654800003103,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.64036966612441,0.946219449854496,A,94.6219449854496,0.02820184833062205,left,,0,4,4,4,,,,,,,,,,,,,,,left,1,0.462965599996096,30.90423710000323,None,30.804155900001206,None,31.38764060000176,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.76793716427588,0.991949304766192,A,99.1949304766192,0.0288396858213794,left,,0,5,5,5,,,,,,,,,,,,,,,left,1,0.27606139999625157,32.571594600001845,None,32.47155930000008,None,32.87199330000294,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.7434200716108,0.977895959734118,A,97.7895959734118,0.028717100358054002,left,,0,6,6,6,,,,,,,,,,,,,,,left,1,0.4009037999967404,34.0548060000001,None,33.954919900003006,None,34.48841330000141,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.7133165821624,0.9663998844466,A,96.63998844465999,0.028566582910812,left,,0,7,7,7,,,,,,,,,,,,,,,left,1,0.5036558999963745,35.672116200003074,None,35.571881000003486,None,36.20591830000194,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
5.78340199446218,0.990336450824386,A,99.03364508243861,0.0289170099723109,left,,0,8,8,8,,,,,,,,,,,,,,,right,0,0.24235299999782,37.38956930000131,None,37.28932790000181,None,37.656173500003206,None,,,,,,,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.15637400000196,None,space,0.7827928000006068,39.65745130000141,None,,,,,,,,,,AntonellaMarabotto,001,2022-11-15_16h50.21.413,PruebaGabor2,2022.1.3,59.987210726620816,
