Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.77060987577728,100.769354151297,B,right,0.033853049378886405,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.8969563995487988,74.15340920025483,None,74.05331190023571,None,75.07123210001737,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
5.72929173891045,152.547911440747,A,left,0.02864645869455225,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,1.1795503995381296,76.25587820028886,None,76.15594410011545,None,77.45730830030516,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
6.79560461389336,95.6732342354127,B,right,0.0339780230694668,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.6968042999505997,78.6421003001742,None,78.54190030042082,None,79.35951700014994,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
6.78987259286191,97.6463219968677,B,right,0.033949362964309546,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.5783192995004356,80.54415050009266,None,80.44379500020295,None,81.14488150039688,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
6.7937359242632,98.7564149697548,B,right,0.033968679621316,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.6489515998400748,82.32950290013105,None,82.22948700003326,None,82.99732220033184,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
5.61469086173203,156.117241799383,A,left,0.02807345430866015,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.9487829995341599,84.18178050033748,None,84.08173600025475,None,85.14951890008524,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
6.77111532989552,94.9967013950831,B,right,0.0338555766494776,19,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.9887353000231087,86.33400300005451,None,86.21693260036409,None,87.35173950018361,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
6.79057937792502,96.2591992028893,B,right,0.0339528968896251,20,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.33828340005129576,88.53675690013915,None,88.43674690043554,None,88.90374290011823,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.42213440034539,None,space,3.823867699597031,90.90622280025855,None,,,,,,,,,,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
6.7699292388116,95.4409030654879,B,right,0.033849646194058,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.87750770011917,None,right,1,1.4332972997799516,94.9778859000653,None,96.42920150002465,None,Antonella,001,2022-09-06_16h13.21.940,PruebaGabor2,2022.1.3,59.9494145361199,
