Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,keyrespTest.rt,participant,session,date,expName,psychopyVersion,frameRate,
5.78340199446218,0.990336450824386,A,99.03364508243861,0.0289170099723109,left,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.23059289999946486,78.49674009999944,None,78.39624059999915,None,78.74641659999907,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24758799999836,None,space,0.3393019000031927,80.74796290000086,None,,,,,,,,,,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.62357944791498,,A,94.3698663452456,0.0281178972395749,left,Left,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.23074500000075,84.23171789999833,None,0,81.3313092999997,None,84.34088469999915,None,,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.69097957372747,,A,96.07103723313219,0.028454897868637353,left,Left,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.39849289999984,None,left,1,85.49883150000096,None,85.74906320000082,None,0.22790560000066762,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.70302277314696,,A,96.9982272857429,0.028515113865734798,left,Left,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.83264789999885,None,left,1,86.93262379999942,None,87.41614819999813,None,0.4505429999990156,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.7712490071334,,B,60.2038916028961,0.033856245035667,right,Right,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.49971979999827,None,right,1,88.59979839999869,None,88.99991289999889,None,0.3750843000016175,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.78591396694264,,B,60.96814582059859,0.0339295698347132,right,Right,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.08339219999834,None,right,1,90.18380139999863,None,90.85059909999836,None,0.6407179000016185,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.7861300224522,,A,98.89064842986241,0.028930650112261,left,Left,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.93424640000012,None,left,1,92.03427340000053,None,92.38437390000036,None,0.3334197000003769,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.74037109471642,,B,59.5246124615583,0.0337018554735821,right,Right,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.46756009999808,None,right,1,93.56769449999774,None,94.10119629999826,None,0.5032899000034377,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.70147029690313,,A,96.5086685933335,0.02850735148451565,left,Left,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.18524659999821,None,right,0,95.28530339999998,None,95.56863199999862,None,0.25727289999849745,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.69237402243448,,A,96.5006797142118,0.0284618701121724,left,Left,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.65236799999911,None,right,0,96.75233599999774,None,97.70279350000055,None,0.9267478000001574,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.82217860521281,,B,62.2158334664355,0.03411089302606405,right,Right,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.78632160000052,None,left,0,98.88652789999833,None,99.1365416999979,None,0.2321616000008362,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.86193314808485,,B,63.150615169344405,0.034309665740424246,right,Right,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2203397000012,None,right,1,100.32073160000073,None,100.83728419999898,None,0.49485090000234777,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.72530625322678,,A,97.2472305457173,0.0286265312661339,left,Left,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.92068289999952,None,left,1,102.02062060000026,None,102.80458400000134,None,0.762785899998562,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.64957882532122,,A,94.3402366143518,0.0282478941266061,left,Left,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.88792290000129,None,left,1,103.98810679999951,None,104.55481149999832,None,0.5467699000000721,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.8749127966295,,B,63.5190774308247,0.034374563983147505,right,Right,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.63832379999803,None,right,1,105.73862910000025,None,106.32203260000097,None,0.5644216000000597,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.74506164945214,,B,59.6281540691298,0.0337253082472607,right,Right,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.40618650000033,None,right,1,107.50614889999997,None,108.12278069999957,None,0.5891210000008869,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.67952016090511,,A,95.494243127605,0.02839760080452555,left,Left,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.20637309999802,None,left,1,109.3062831999996,None,109.8733401999998,None,0.5494239000036032,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.719145030165,,A,97.06851619359999,0.028595725150825,left,Left,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9569808999986,None,left,1,111.05680829999983,None,111.7570831999983,None,0.6782896000040637,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.79652096075576,,B,61.119735380497495,0.0339826048037788,right,Right,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8407034999982,None,right,1,112.94074209999962,None,113.5238262999992,None,0.5545125000026019,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.6660316436833,,A,95.8076835388605,0.028330158218416498,left,Left,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.60802820000026,None,right,0,114.70793129999947,None,115.22521799999959,None,0.49963820000266423,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.71454997714318,,A,97.434921498953,0.028572749885715898,left,Left,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.30853109999953,None,left,1,116.40845379999882,None,117.30869689999963,None,0.8787909000020591,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.79780810064405,,B,61.36872283451859,0.03398904050322025,right,Right,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.39203690000068,121.3934253999978,None,0,118.49246069999936,None,121.49301289999858,None,,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.73055428182459,,B,58.9740622048953,0.03365277140912295,right,Right,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.57705259999784,None,left,0,122.67710530000113,None,123.89397330000065,None,1.1863867000029131,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.83431327574922,,B,62.0735016195749,0.0341715663787461,right,Right,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.97775700000057,None,right,1,125.07799069999965,None,125.37790200000018,None,0.27320160000090254,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.67108255771528,,A,95.2895897881996,0.028355412788576402,left,Left,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.46130840000114,None,right,0,126.5613904999991,None,126.96233729999949,None,0.37357970000084606,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.7543377697461,,B,59.79598063442349,0.033771688848730504,right,Right,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.04540300000008,None,left,0,128.14517459999843,None,128.36208590000024,None,0.1900777000009839,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.75116283765296,,B,59.723953065391996,0.0337558141882648,right,Right,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.44572909999988,None,right,1,129.54567219999808,None,129.9291336999995,None,0.35703020000073593,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.64391420351471,,A,94.651711497528,0.02821957101757355,left,Left,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.01308860000063,None,right,0,131.11301199999798,None,131.63038020000022,None,0.4862838000008196,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.75226390028654,,B,59.213835858432,0.0337613195014327,right,Right,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.71362229999795,None,left,0,132.81355939999776,None,133.1971768000003,None,0.35346040000149515,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.69997815522408,,B,58.6482275168153,0.033499890776120395,right,Right,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.28052079999907,None,right,1,134.3806541999984,None,135.1976128999995,None,0.7862234999993234,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
6.77124141098444,,B,60.3826196380828,0.0338562070549222,right,Right,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.2813337999978,None,right,1,136.38152059999993,None,136.98166309999942,None,0.5701129000044602,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.67094332193572,,A,95.3798857259747,0.0283547166096786,left,Left,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.06538849999924,None,left,1,138.16530010000133,None,138.89878390000013,None,0.7059538000030443,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
5.70943452457431,,A,96.4926892965227,0.028547172622871552,left,Left,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9822032000011,None,left,1,140.08214179999777,None,140.6158217000011,None,0.5083578000012494,AntonellaNoviembre,001,2022-11-15_15h22.33.485,PruebaGabor2,2022.1.3,59.993328742553636,
