Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.78340199446218,0.990336450824386,A,99.03364508243861,0.0289170099723109,Left,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.1329443999857176,49.90434440001263,None,49.80403840000508,None,50.05432180000935,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55448040002375,None,space,0.7830412999901455,52.054523900005734,None,,,,,,,,,,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
5.62357944791498,0.943698663452456,A,94.3698663452456,0.0281178972395749,Left,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.97162340002251,None,right,0,0.9661175000073854,53.07164940002258,None,54.0597394000215,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
5.69097957372747,0.960710372331322,A,96.07103723313219,0.028454897868637353,Left,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.155057099997066,None,right,0,0.4704634000081569,55.2550523999962,None,55.75523520002025,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
5.70302277314696,0.969982272857429,A,96.9982272857429,0.028515113865734798,Left,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.83947360000457,None,right,0,0.5382579999859445,56.93961910001235,None,57.50586570001906,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
6.7712490071334,0.602038916028961,B,60.2038916028961,0.033856245035667,Right,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58979480000562,None,right,0,0.4521359999780543,58.689601600024616,None,59.17283860000316,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
6.78591396694264,0.609681458205986,B,60.96814582059859,0.0339295698347132,Right,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.257008500018856,None,right,0,0.1847424999868963,60.35711780001293,None,60.574310900003184,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
5.7861300224522,0.988906484298624,A,98.89064842986241,0.028930650112261,Left,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65767420001794,None,right,0,0.11225130001548678,61.75750700000208,None,61.89101110000047,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
6.74037109471642,0.595246124615583,B,59.5246124615583,0.0337018554735821,Right,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.97404900001129,None,right,0,0.04397669999161735,63.07409209999605,None,63.14088040002389,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
5.70147029690313,0.965086685933335,A,96.5086685933335,0.02850735148451565,Left,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.22456550001516,None,right,0,0.1767460000119172,64.32445040001767,None,64.5247591000225,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
5.69237402243448,0.965006797142118,A,96.5006797142118,0.0284618701121724,Left,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.60870300000533,None,right,0,0.11260540000512265,65.70871240002452,None,65.84225480002351,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
6.82217860521281,0.622158334664355,B,62.2158334664355,0.03411089302606405,Right,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.92555840002024,None,right,0,0.1879694999952335,67.02546080001048,None,67.24222480002209,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
6.86193314808485,0.631506151693444,B,63.150615169344405,0.034309665740424246,Right,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.32578750001267,None,right,0,0.13988820000668056,68.42584520002129,None,68.59259010001551,None,AntonellaNoviembre,001,2022-11-10_16h18.09.913,PruebaGabor2,2022.1.3,60.06821346515032,
