Frecuencia,Orientaciondecimal,Categoria,Tecla,FrecuenciaEspacial,Orientacion,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.58216528961278,0.938938903573769,B,Right,0.027910826448063898,93.8938903573769,0,0,0,0,27.27240520000032,28.63943780000045,28.63943780000045,29.873771200000192,29.873771200000192,31.14140750000024,31.14140750000024,32.037466400000085,32.037466400000085,None,right,0,1.5795766000001095,36.25827140000001,None,36.15859230000024,None,37.86473279999973,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.7421909977524,0.992408129762322,B,Right,0.028710954988762,99.24081297623219,0,1,1,1,,,,,,,,,,,right,0,1.1309631999993144,39.05911040000046,None,38.95888569999988,None,40.20926489999965,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.91838218302026,0.919436605387555,A,Left,0.0295919109151013,91.9436605387555,0,2,2,2,,,,,,,,,,,left,0,0.5801265000000058,41.39318170000024,None,41.293135099999745,None,41.99361560000034,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
6.01390520343677,0.946349882020115,A,Left,0.03006952601718385,94.6349882020115,0,3,3,3,,,,,,,,,,,left,0,0.7013839999999618,43.177193700000316,None,43.07684479999989,None,43.91053610000017,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
6.23699028071632,1.02452838060917,A,Left,0.0311849514035816,102.452838060917,0,4,4,4,,,,,,,,,,,left,0,0.447562199999993,45.095732300000236,None,44.994185200000175,None,45.56112949999988,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.67158895787522,0.964688079253955,B,Right,0.0283579447893761,96.46880792539551,0,5,5,5,,,,,,,,,,,left,0,1.005167100000108,46.744925400000284,None,46.64492609999979,None,47.7785273999998,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.7039377697544,0.977373274371922,B,Right,0.028519688848772,97.7373274371922,0,6,6,6,,,,,,,,,,,right,0,0.5555215000003955,48.96225890000005,None,48.86210000000028,None,49.545787799999744,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.72065192171127,0.980971824086647,B,Right,0.02860325960855635,98.0971824086647,0,7,7,7,,,,,,,,,,,right,0,0.1258614000007583,50.729269499999646,None,50.629241900000125,None,50.87972660000014,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.5047126060121,0.914781935135891,B,Right,0.027523563030060497,91.4781935135891,0,8,8,8,,,,,,,,,,,right,0,0.15023030000065773,52.07972249999966,None,51.97973830000046,None,52.2467415000001,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.67906074225808,0.970739952253396,B,Right,0.0283953037112904,97.0739952253396,0,9,9,9,,,,,,,,,,,right,0,0.19135499999993044,53.43039680000038,None,53.330353399999694,None,53.64697429999978,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.58758100667939,0.944265104374581,B,Right,0.027937905033396947,94.4265104374581,0,10,10,10,,,,,,,,,,,right,0,0.1589733000000706,54.830730499999845,None,54.73088869999992,None,55.01412439999967,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.68432251361545,0.973299419966803,B,Right,0.028421612568077247,97.3299419966803,0,11,11,11,,,,,,,,,,,right,0,0.07923100000061822,56.198048899999776,None,56.097610599999825,None,56.29777869999998,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.74542707210504,0.992664059541679,B,Right,0.028727135360525197,99.26640595416791,0,12,12,12,,,,,,,,,,,right,0,0.13201370000024326,57.48168979999991,None,57.381379299999935,None,57.63180629999988,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
6.14813233152549,0.987504664936659,A,Left,0.03074066165762745,98.7504664936659,0,13,13,13,,,,,,,,,,,right,0,0.10293389999969804,58.815417900000284,None,58.71518490000017,None,58.94877110000016,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.81082669420623,1.01301263458881,B,Right,0.02905413347103115,101.301263458881,0,14,14,14,,,,,,,,,,,right,0,0.10575609999978042,60.13228909999998,None,60.032138499999746,None,60.26677740000014,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
5.66287940832222,0.974881428790984,B,Right,0.028314397041611098,97.4881428790984,0,15,15,15,,,,,,,,,,,right,0,0.036583600000085426,61.4494265000003,None,61.34943800000019,None,61.51614470000004,None,antoMBisbis,001,2023-07-20_12h53.33.864,PruebaGabor2,2022.1.3,59.88490121966983,
