Frecuencia,Orientacion,Categoria,Tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.99904360189593,94.9542944014647,A,left,0.02999521800947965,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,57.499320399947464,None,left,1,0.8772072999272496,57.599329699994996,None,58.49976189993322,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.11983160609756,98.8795243293115,A,left,0.0305991580304878,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,59.583000599988736,None,right,0,1.0250453000189736,59.683308299980126,None,60.73530309996568,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.10002233712059,97.78607662393169,A,left,0.03050011168560295,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,61.83397259993944,None,left,1,0.7677002000855282,61.93388209992554,None,62.737329199910164,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.15214428730018,99.3839108280616,A,left,0.0307607214365009,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,63.83422409999184,None,right,0,0.9110224000178277,63.93408159993123,None,64.86976629996207,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.06915234895533,96.6928365326417,A,left,0.030345761744776652,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,65.9682741999859,None,left,1,0.512931999983266,66.06810859998222,None,66.60219949996099,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.11794139285854,98.66790129501341,A,left,0.030589706964292702,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,67.68534729990643,None,left,1,0.5154083999805152,67.78537289996166,None,68.31891259993427,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.59111935856825,92.2898665108994,B,right,0.02795559679284125,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,69.40262349997647,None,right,1,0.7740211000200361,69.50262409995776,None,70.30290219991002,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.14249320255595,98.88176423311509,A,left,0.03071246601277975,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,71.38670409994666,None,left,1,0.8699140000389889,71.48678029992152,None,72.38696609996259,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.60637319926703,93.2267354754974,B,right,0.02803186599633515,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,73.47108739998657,None,right,1,1.2980989000061527,73.5709289999213,None,74.88761969993357,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.69609504150804,95.4670624273067,B,right,0.028480475207540202,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,75.97124559991062,None,left,0,0.9894021999789402,76.07137679995503,None,77.08938379993197,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
