"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
1004,0,"Grupo B",413,3,44,1,1,0,1,706,1809,1507,40,"You pitched Andy the idea","02/16/2017","listening and comprehension","n","n","n",302,NA,"","",1,NA,NA,NA
1006,0,"Grupo B",413,3,46,1,0,0,1,270,2233,1002,11,"Heather slipped you a note","02/16/2017","listening and comprehension","n","n","n",1231,NA,"","",0,NA,NA,NA
1011,0,"Grupo B",413,3,51,0,1,0,1,323,1711,1511,28,"You handed Courtney the notebook","02/16/2017","listening and comprehension","n","n","n",200,NA,"","",0,NA,NA,NA
1012,0,"Grupo B",413,3,52,0,1,0,1,356,1820,1681,21,"You delivered the Pizza to Andy","02/16/2017","listening and comprehension","n","n","n",139,NA,"","",0,NA,NA,NA
1014,0,"Grupo B",413,3,54,1,1,0,1,325,2174,1307,38,"You blew your sister a kiss","02/16/2017","listening and comprehension","n","n","n",867,NA,"","",1,NA,NA,NA
1015,0,"Grupo B",413,3,55,1,1,0,1,424,2084,1390,34,"You sang Jenni a song","02/16/2017","listening and comprehension","n","n","n",694,NA,"","",1,NA,NA,NA
1017,0,"Grupo B",413,3,57,1,0,0,1,257,2472,2138,15,"Anna transferred responsibility to you","02/16/2017","listening and comprehension","n","n","n",334,NA,"","",0,NA,NA,NA
1019,0,"Grupo B",413,3,59,1,1,0,1,255,2145,1837,31,"You bestowed the honor upon Art","02/16/2017","listening and comprehension","n","n","n",308,NA,"","",1,NA,NA,NA
1024,0,"Grupo B",413,3,64,1,0,0,1,318,2626,1874,13,"Sara transmitted the orders to you","02/16/2017","listening and comprehension","n","n","n",752,NA,"","",0,NA,NA,NA
1025,0,"Grupo B",413,3,65,1,1,0,1,308,2067,1635,35,"You gave Jesse another chance","02/16/2017","listening and comprehension","n","n","n",432,NA,"","",1,NA,NA,NA
1026,0,"Grupo B",413,3,66,0,1,0,1,218,3232,1321,24,"You drove the car to Amber","02/16/2017","listening and comprehension","n","n","n",1911,NA,"","",0,NA,NA,NA
1032,0,"Grupo B",413,3,72,1,1,0,1,370,1692,1647,32,"You devoted your time to Tiana","02/16/2017","listening and comprehension","n","n","n",45,NA,"","",1,NA,NA,NA
1033,0,"Grupo B",413,3,73,0,1,0,1,374,1668,1439,26,"You bought Christine ice cream","02/16/2017","listening and comprehension","n","n","n",229,NA,"","",0,NA,NA,NA
1037,0,"Grupo B",413,3,77,1,0,0,1,359,4479,1277,19,"Liz told you the story","02/16/2017","listening and comprehension","n","n","n",3202,NA,"","",0,NA,NA,NA
1040,0,"Grupo B",413,3,80,1,0,0,1,368,2825,2184,14,"The policeman radioed the message to you","02/16/2017","listening and comprehension","n","n","n",641,NA,"","",0,NA,NA,NA
1041,1,"Grupo A",414,4,1,0,0,0,1,211,1437,1371,20,"Your family sent you regards","02/16/2017","language","n","n","n",66,NA,"","",1,NA,NA,NA
1042,0,"Grupo A",414,4,2,0,0,0,1,2571,4289,1647,16,"Dan confessed his secret to you","02/16/2017","language","n","n","n",2642,NA,"","",1,NA,NA,NA
1043,0,"Grupo A",414,4,3,0,1,0,1,217,1984,1837,31,"You bestowed the honor upon Art","02/16/2017","language","n","n","n",147,NA,"","",0,NA,NA,NA
1044,0,"Grupo A",414,4,4,1,1,0,1,208,1937,2109,27,"You slid Sally the cafeteria tray","02/16/2017","language","n","n","n",-172,NA,"","",1,NA,NA,NA
1045,0,"Grupo A",414,4,5,0,0,0,1,263,1489,1277,19,"Liz told you the story","02/16/2017","language","n","n","n",212,NA,"","",1,NA,NA,NA
1046,0,"Grupo A",414,4,6,0,1,0,1,181,2452,1579,37,"You offered Chris some writing tips","02/16/2017","language","n","n","n",873,NA,"","",0,NA,NA,NA
1047,0,"Grupo A",414,4,7,1,0,0,1,202,1815,1623,8,"Shawn shot you the rubber band","02/16/2017","language","n","n","n",192,NA,"","",0,NA,NA,NA
1051,0,"Grupo A",414,4,11,1,1,0,1,243,1789,1321,24,"You drove the car to Amber","02/16/2017","language","n","n","n",468,NA,"","",1,NA,NA,NA
1061,0,"Grupo A",414,4,21,1,0,0,1,231,1740,1473,10,"Your dad poured you some water","02/16/2017","language","n","n","n",267,NA,"","",0,NA,NA,NA
1067,0,"Grupo A",414,4,27,0,0,0,1,278,2702,1874,13,"Sara transmitted the orders to you","02/16/2017","language","n","n","n",828,NA,"","",1,NA,NA,NA
1070,0,"Grupo A",414,4,30,0,0,0,1,257,2436,1501,12,"Mike sold the land to you","02/16/2017","language","n","n","n",935,NA,"","",1,NA,NA,NA
1082,0,"Grupo A",414,4,42,0,1,0,1,383,2302,1639,33,"You dedicated the song to John","02/16/2017","language","n","n","n",663,NA,"","",0,NA,NA,NA
1083,0,"Grupo A",414,4,43,1,1,0,1,256,1759,1511,28,"You handed Courtney the notebook","02/16/2017","language","n","n","n",248,NA,"","",1,NA,NA,NA
1090,0,"Grupo A",414,4,50,1,0,0,1,297,1722,1347,9,"Mike rolled you the marble","02/16/2017","language","n","n","n",375,NA,"","",0,NA,NA,NA
1103,0,"Grupo A",414,4,63,1,1,0,1,220,2617,1681,21,"You delivered the Pizza to Andy","02/16/2017","language","n","n","n",936,NA,"","",1,NA,NA,NA
1104,0,"Grupo A",414,4,64,1,0,0,1,247,1840,1579,5,"Katie handed the puppy to you","02/16/2017","language","n","n","n",261,NA,"","",0,NA,NA,NA
1110,0,"Grupo A",414,4,70,0,0,0,1,200,2344,2138,15,"Anna transferred responsibility to you","02/16/2017","language","n","n","n",206,NA,"","",1,NA,NA,NA
1114,0,"Grupo A",414,4,74,0,1,0,1,200,1977,1390,34,"You sang Jenni a song","02/16/2017","language","n","n","n",587,NA,"","",0,NA,NA,NA
1116,0,"Grupo A",414,4,76,0,1,0,1,198,1998,1635,35,"You gave Jesse another chance","02/16/2017","language","n","n","n",363,NA,"","",0,NA,NA,NA
1118,0,"Grupo A",414,4,78,0,1,0,1,138,2378,1126,39,"You taught him a lesson","02/16/2017","language","n","n","n",1252,NA,"","",0,NA,NA,NA
1123,0,"Grupo A",415,1,3,1,1,0,1,322,2005,1724,37,"Ian received the complaint from you","07/03/2017","language","n","n","n",281,NA,"","",1,NA,NA,NA
1124,0,"Grupo A",415,1,4,1,0,0,1,355,1900,1022,19,"He taught you a lesson","07/03/2017","language","n","n","n",878,NA,"","",0,NA,NA,NA
1125,0,"Grupo A",415,1,5,1,0,0,1,239,2175,1698,15,"Jesse gave you another chance","07/03/2017","language","n","n","n",477,NA,"","",0,NA,NA,NA
1126,0,"Grupo A",415,1,6,1,0,0,1,236,2549,1390,18,"Your sister blew you a kiss","07/03/2017","language","n","n","n",1159,NA,"","",0,NA,NA,NA
1131,0,"Grupo A",415,1,11,1,1,0,1,339,1662,1270,38,"You paid Amanda tribute","07/03/2017","language","n","n","n",392,NA,"","",1,NA,NA,NA
1135,0,"Grupo A",415,1,15,1,1,0,1,338,1722,1371,32,"You sold the land to Mike","07/03/2017","language","n","n","n",351,NA,"","",1,NA,NA,NA
1136,0,"Grupo A",415,1,16,1,0,0,1,306,1610,1369,14,"Jenni sang you a song","07/03/2017","language","n","n","n",241,NA,"","",0,NA,NA,NA
1139,0,"Grupo A",415,1,19,0,0,0,1,329,2052,1489,3,"Jack kicked the football to you","07/03/2017","language","n","n","n",563,NA,"","",1,NA,NA,NA
1147,0,"Grupo A",415,1,27,1,1,0,1,271,1761,1407,40,"You sent your family regards","07/03/2017","language","n","n","n",354,NA,"","",1,NA,NA,NA
1148,0,"Grupo A",415,1,28,0,0,0,1,248,1721,1503,1,"Andy delivered the pizza to you","07/03/2017","language","n","n","n",218,NA,"","",1,NA,NA,NA
1149,0,"Grupo A",415,1,29,1,0,0,1,256,2184,1508,17,"Chris offered you some writing tips","07/03/2017","language","n","n","n",676,NA,"","",0,NA,NA,NA
1150,0,"Grupo A",415,1,30,0,0,0,1,160,3126,1926,7,"Sally slid you the cafeteria tray","07/03/2017","language","n","n","n",1200,NA,"","",1,NA,NA,NA
1153,0,"Grupo A",415,1,33,1,1,0,1,214,2746,1856,33,"You transmitted the orders to Sara","07/03/2017","language","n","n","n",890,NA,"","",1,NA,NA,NA
1154,0,"Grupo A",415,1,34,1,0,0,1,240,3165,1733,16,"Steve lavished you with praise","07/03/2017","language","n","n","n",1432,NA,"","",0,NA,NA,NA
1156,0,"Grupo A",415,1,36,0,1,0,1,302,1596,1186,26,"You threw Diane the pen","07/03/2017","language","n","n","n",410,NA,"","",0,NA,NA,NA
1157,0,"Grupo A",415,1,37,1,0,0,1,269,2003,1696,13,"John dedicated the song to you","07/03/2017","language","n","n","n",307,NA,"","",0,NA,NA,NA
1161,0,"Grupo A",415,1,41,0,0,0,1,213,1825,1534,2,"Helen awarded a medal to you","07/03/2017","language","n","n","n",291,NA,"","",1,NA,NA,NA
1162,0,"Grupo A",415,1,42,0,0,0,1,255,1600,1396,6,"Christine bought you ice cream","07/03/2017","language","n","n","n",204,NA,"","",1,NA,NA,NA
1166,0,"Grupo A",415,1,46,0,1,0,1,194,1988,1637,22,"You donated money to Vincent","07/03/2017","language","n","n","n",351,NA,"","",0,NA,NA,NA
1168,0,"Grupo A",415,1,48,1,1,0,1,289,2103,1310,39,"You told Liz the story","07/03/2017","language","n","n","n",793,NA,"","",1,NA,NA,NA
1170,0,"Grupo A",415,1,50,0,0,0,1,262,1837,1704,10,"Adam conveyed the message to you","07/03/2017","language","n","n","n",133,NA,"","",1,NA,NA,NA
1172,0,"Grupo A",415,1,52,0,1,0,1,207,1827,1567,25,"You handed the puppy to Katie","07/03/2017","language","n","n","n",260,NA,"","",0,NA,NA,NA
1178,0,"Grupo A",415,1,58,0,1,0,1,169,2159,1645,27,"You kicked Joe the soccer ball","07/03/2017","language","n","n","n",514,NA,"","",0,NA,NA,NA
1181,0,"Grupo A",415,1,61,1,1,0,1,285,2827,2065,34,"You radioed the message to the policeman","07/03/2017","language","n","n","n",762,NA,"","",1,NA,NA,NA
1182,0,"Grupo A",415,1,62,1,1,0,1,257,1827,1600,36,"You confessed your secret to Dan","07/03/2017","language","n","n","n",227,NA,"","",1,NA,NA,NA
1185,0,"Grupo A",415,1,65,0,1,0,1,183,2254,1634,24,"You entrusted the key to Jeff","07/03/2017","language","n","n","n",620,NA,"","",0,NA,NA,NA
1189,0,"Grupo A",415,1,69,0,0,0,1,211,2547,1559,8,"Courtney handed you the notebook","07/03/2017","language","n","n","n",988,NA,"","",1,NA,NA,NA
1197,0,"Grupo A",415,1,77,0,1,0,1,204,2480,1427,30,"You poured your dad some water","07/03/2017","language","n","n","n",1053,NA,"","",0,NA,NA,NA
1199,0,"Grupo A",415,1,79,1,0,0,1,248,2154,1746,12,"Tiana devoted her time to you","07/03/2017","language","n","n","n",408,NA,"","",0,NA,NA,NA
1200,0,"Grupo A",415,1,80,0,0,0,1,160,4119,1322,9,"Paul hit you the baseball","07/03/2017","language","n","n","n",2797,NA,"","",1,NA,NA,NA
1204,0,"Grupo A",416,2,4,0,0,0,1,220,2022,1733,16,"Steve lavished you with praise","02/27/2017","english knowledge","n","n","n",289,NA,"","",1,NA,NA,NA
1209,0,"Grupo A",416,2,9,0,1,0,1,190,1902,1600,36,"You confessed your secret to Dan","02/27/2017","english knowledge","n","n","n",302,NA,"","",0,NA,NA,NA
1212,0,"Grupo A",416,2,12,0,0,0,1,188,2086,1805,11,"Art bestowed the honor upon you","02/27/2017","english knowledge","n","n","n",281,NA,"","",1,NA,NA,NA
1216,0,"Grupo A",416,2,16,1,1,0,1,176,1684,1637,22,"You donated money to Vincent","02/27/2017","english knowledge","n","n","n",47,NA,"","",1,NA,NA,NA
1218,0,"Grupo A",416,2,18,0,0,0,1,215,1815,1369,14,"Jenni sang you a song","02/27/2017","english knowledge","n","n","n",446,NA,"","",1,NA,NA,NA
1220,0,"Grupo A",416,2,20,0,1,0,1,187,2163,2034,35,"You transferred responsibility to Anna","02/27/2017","english knowledge","n","n","n",129,NA,"","",0,NA,NA,NA
1221,0,"Grupo A",416,2,21,0,1,0,1,194,1631,1270,38,"You paid Amanda tribute","02/27/2017","english knowledge","n","n","n",361,NA,"","",0,NA,NA,NA
1222,0,"Grupo A",416,2,22,0,0,0,1,201,1383,1022,19,"He taught you a lesson","02/27/2017","english knowledge","n","n","n",361,NA,"","",1,NA,NA,NA
1223,0,"Grupo A",416,2,23,0,1,0,1,201,1584,1371,32,"You sold the land to Mike","02/27/2017","english knowledge","n","n","n",213,NA,"","",0,NA,NA,NA
1231,0,"Grupo A",416,2,31,1,1,0,1,222,1726,1567,25,"You handed the puppy to Katie","02/27/2017","english knowledge","n","n","n",159,NA,"","",1,NA,NA,NA
1234,0,"Grupo A",416,2,34,0,1,0,1,257,1588,1310,39,"You told Liz the story","02/27/2017","english knowledge","n","n","n",278,NA,"","",0,NA,NA,NA
1236,0,"Grupo A",416,2,36,1,0,0,1,238,1860,1704,10,"Adam conveyed the message to you","02/27/2017","english knowledge","n","n","n",156,NA,"","",0,NA,NA,NA
1237,0,"Grupo A",416,2,37,1,1,0,1,183,1647,1620,28,"You shot Shawn the rubber band","02/27/2017","english knowledge","n","n","n",27,NA,"","",1,NA,NA,NA
1238,0,"Grupo A",416,2,38,0,0,0,1,262,1791,1746,12,"Tiana devoted her time to you","02/27/2017","english knowledge","n","n","n",45,NA,"","",1,NA,NA,NA
1240,0,"Grupo A",416,2,40,1,1,0,1,296,1810,1427,30,"You poured your dad some water","02/27/2017","english knowledge","n","n","n",383,NA,"","",1,NA,NA,NA
1241,0,"Grupo A",416,2,41,1,0,0,1,223,1742,1503,1,"Andy delivered the pizza to you","02/27/2017","english knowledge","n","n","n",239,NA,"","",0,NA,NA,NA
1242,0,"Grupo A",416,2,42,1,0,0,1,240,2781,1534,2,"Helen awarded a medal to you","02/27/2017","english knowledge","n","n","n",1247,NA,"","",0,NA,NA,NA
1250,0,"Grupo A",416,2,50,0,0,0,1,235,1897,1508,17,"Chris offered you some writing tips","02/27/2017","english knowledge","n","n","n",389,NA,"","",1,NA,NA,NA
1252,0,"Grupo A",416,2,52,0,1,0,1,221,2502,2065,34,"You radioed the message to the policeman","02/27/2017","english knowledge","n","n","n",437,NA,"","",0,NA,NA,NA
1253,0,"Grupo A",416,2,53,1,0,0,1,256,1951,1433,4,"Amber drove the car to you","02/27/2017","english knowledge","n","n","n",518,NA,"","",0,NA,NA,NA
1254,0,"Grupo A",416,2,54,1,1,0,1,251,1901,1634,24,"You entrusted the key to Jeff","02/27/2017","english knowledge","n","n","n",267,NA,"","",1,NA,NA,NA
1258,0,"Grupo A",416,2,58,0,0,0,1,259,1590,1696,13,"John dedicated the song to you","02/27/2017","english knowledge","n","n","n",-106,NA,"","",1,NA,NA,NA
1259,0,"Grupo A",416,2,59,0,0,0,1,268,1918,1472,20,"Andy pitched you the idea","02/27/2017","english knowledge","n","n","n",446,NA,"","",1,NA,NA,NA
1262,0,"Grupo A",416,2,62,1,0,0,1,245,1643,1322,9,"Paul hit you the baseball","02/27/2017","english knowledge","n","n","n",321,NA,"","",0,NA,NA,NA
1264,0,"Grupo A",416,2,64,0,1,0,1,314,1897,1724,37,"Ian received the complaint from you","02/27/2017","english knowledge","n","n","n",173,NA,"","",0,NA,NA,NA
1265,0,"Grupo A",416,2,65,1,1,0,1,284,2212,1645,27,"You kicked Joe the soccer ball","02/27/2017","english knowledge","n","n","n",567,NA,"","",1,NA,NA,NA
1269,0,"Grupo A",416,2,69,1,0,0,1,268,1808,1559,8,"Courtney handed you the notebook","02/27/2017","english knowledge","n","n","n",249,NA,"","",0,NA,NA,NA
1272,0,"Grupo A",416,2,72,0,0,0,1,296,1670,1698,15,"Jesse gave you another chance","02/27/2017","english knowledge","n","n","n",-28,NA,"","",1,NA,NA,NA
1273,0,"Grupo A",416,2,73,1,0,0,1,226,2561,1926,7,"Sally slid you the cafeteria tray","02/27/2017","english knowledge","n","n","n",635,NA,"","",0,NA,NA,NA
1275,0,"Grupo A",416,2,75,1,1,0,1,275,1643,1186,26,"You threw Diane the pen","02/27/2017","english knowledge","n","n","n",457,NA,"","",1,NA,NA,NA
1277,0,"Grupo A",416,2,77,0,1,0,1,299,1994,1856,33,"You transmitted the orders to Sara","02/27/2017","english knowledge","n","n","n",138,NA,"","",0,NA,NA,NA
1278,0,"Grupo A",416,2,78,1,0,0,1,256,1556,1396,6,"Christine bought you ice cream","02/27/2017","english knowledge","n","n","n",160,NA,"","",0,NA,NA,NA
1279,0,"Grupo A",416,2,79,0,1,0,1,283,1663,1407,40,"You sent your family regards","02/27/2017","english knowledge","n","n","n",256,NA,"","",0,NA,NA,NA
1282,0,"Grupo B",417,4,2,0,1,0,1,347,1823,1390,34,"You sang Jenni a song","02/28/2017","language","y","y","n",433,NA,"","",0,NA,NA,NA
1285,0,"Grupo B",417,4,5,0,1,0,1,216,1523,1126,39,"You taught him a lesson","02/28/2017","language","y","y","n",397,NA,"","",0,NA,NA,NA
1286,0,"Grupo B",417,4,6,0,0,0,1,200,1998,1647,16,"Dan confessed his secret to you","02/28/2017","language","y","y","n",351,NA,"","",1,NA,NA,NA
1287,0,"Grupo B",417,4,7,1,0,0,1,177,1813,1460,3,"Mark dealt the cards to you","02/28/2017","language","y","y","n",353,NA,"","",0,NA,NA,NA
1288,0,"Grupo B",417,4,8,0,0,0,1,513,1553,1277,19,"Liz told you the story","02/28/2017","language","y","y","n",276,NA,"","",1,NA,NA,NA
1290,0,"Grupo B",417,4,10,0,0,0,1,238,1976,1724,17,"You received the complaint from Ian","02/28/2017","language","y","y","n",252,NA,"","",1,NA,NA,NA
1293,0,"Grupo B",417,4,13,1,0,0,1,183,1867,1523,7,"Joe kicked you the soccer ball","02/28/2017","language","y","y","n",344,NA,"","",0,NA,NA,NA
1294,0,"Grupo B",417,4,14,1,1,0,1,220,1995,1744,30,"You conveyed the message to Adam","02/28/2017","language","y","y","n",251,NA,"","",1,NA,NA,NA
1295,0,"Grupo B",417,4,15,1,1,0,1,314,1790,1321,24,"You drove the car to Amber","02/28/2017","language","y","y","n",469,NA,"","",1,NA,NA,NA
1301,0,"Grupo B",417,4,21,1,1,0,1,228,1877,1439,26,"You bought Christine ice cream","02/28/2017","language","y","y","n",438,NA,"","",1,NA,NA,NA
1304,0,"Grupo B",417,4,24,1,1,0,1,228,2148,1511,28,"You handed Courtney the notebook","02/28/2017","language","y","y","n",637,NA,"","",1,NA,NA,NA
1305,0,"Grupo B",417,4,25,1,1,0,1,204,2496,1485,22,"You awarded a medal to Helen","02/28/2017","language","y","y","n",1011,NA,"","",1,NA,NA,NA
1307,0,"Grupo B",417,4,27,1,0,0,1,206,2144,1579,5,"Katie handed the puppy to you","02/28/2017","language","y","y","n",565,NA,"","",0,NA,NA,NA
1313,0,"Grupo B",417,4,33,0,1,0,1,655,2565,1639,33,"You dedicated the song to John","02/28/2017","language","y","y","n",926,NA,"","",0,NA,NA,NA
1318,0,"Grupo B",417,4,38,0,1,0,1,333,2134,1635,35,"You gave Jesse another chance","02/28/2017","language","y","y","n",499,NA,"","",0,NA,NA,NA
1319,0,"Grupo B",417,4,39,1,1,0,1,274,2891,1293,29,"You hit Paul the baseball","02/28/2017","language","y","y","n",1598,NA,"","",1,NA,NA,NA
1321,0,"Grupo B",417,4,41,0,1,0,1,350,2812,1796,36,"You lavished Steve with praise","02/28/2017","language","y","y","n",1016,NA,"","",0,NA,NA,NA
1325,0,"Grupo B",417,4,45,0,0,0,1,350,2675,2184,14,"The policeman radioed the message to you","02/28/2017","language","y","y","n",491,NA,"","",1,NA,NA,NA
1327,0,"Grupo B",417,4,47,0,1,0,1,367,2434,1647,32,"You devoted your time to Tiana","02/28/2017","language","y","y","n",787,NA,"","",0,NA,NA,NA
1328,0,"Grupo B",417,4,48,1,1,0,1,300,2271,1746,25,"You dispensed the rations to Kelly","02/28/2017","language","y","y","n",525,NA,"","",1,NA,NA,NA
1329,0,"Grupo B",417,4,49,1,0,0,1,258,2437,1347,9,"Mike rolled you the marble","02/28/2017","language","y","y","n",1090,NA,"","",0,NA,NA,NA
1332,0,"Grupo B",417,4,52,1,0,0,1,228,2457,1684,2,"Vincent donated money to you","02/28/2017","language","y","y","n",773,NA,"","",0,NA,NA,NA
1334,0,"Grupo B",417,4,54,0,0,0,1,289,2211,1501,12,"Mike sold the land to you","02/28/2017","language","y","y","n",710,NA,"","",1,NA,NA,NA
1335,0,"Grupo B",417,4,55,0,0,0,1,339,2736,2138,15,"Anna transferred responsibility to you","02/28/2017","language","y","y","n",598,NA,"","",1,NA,NA,NA
1340,0,"Grupo B",417,4,60,1,0,0,1,275,2140,1693,4,"Jeff entrusted the key to you","02/28/2017","language","y","y","n",447,NA,"","",0,NA,NA,NA
1348,0,"Grupo B",417,4,68,0,1,0,1,236,3146,1579,37,"You offered Chris some writing tips","02/28/2017","language","y","y","n",1567,NA,"","",0,NA,NA,NA
1352,0,"Grupo B",417,4,72,0,0,0,1,331,2004,1304,18,"Amanda paid you tribute","02/28/2017","language","y","y","n",700,NA,"","",1,NA,NA,NA
1353,0,"Grupo B",417,4,73,0,1,0,1,275,2702,1837,31,"You bestowed the honor upon Art","02/28/2017","language","y","y","n",865,NA,"","",0,NA,NA,NA
1354,0,"Grupo B",417,4,74,1,1,0,1,257,2166,1681,21,"You delivered the Pizza to Andy","02/28/2017","language","y","y","n",485,NA,"","",1,NA,NA,NA
1357,0,"Grupo B",417,4,77,0,0,0,1,222,2651,1371,20,"Your family sent you regards","02/28/2017","language","y","y","n",1280,NA,"","",1,NA,NA,NA
1364,0,"Grupo A",418,2,4,1,1,0,1,305,2171,1620,28,"You shot Shawn the rubber band","03/06/2017","listening","n","n","n",551,NA,"","",1,NA,NA,NA
1365,0,"Grupo A",418,2,5,1,0,0,1,314,1898,1433,4,"Amber drove the car to you","03/06/2017","listening","n","n","n",465,NA,"","",0,NA,NA,NA
1366,0,"Grupo A",418,2,6,0,0,0,1,381,2019,1472,20,"Andy pitched you the idea","03/06/2017","listening","n","n","n",547,NA,"","",1,NA,NA,NA
1368,0,"Grupo A",418,2,8,0,1,0,1,284,2208,1856,33,"You transmitted the orders to Sara","03/06/2017","listening","n","n","n",352,NA,"","",0,NA,NA,NA
1371,0,"Grupo A",418,2,11,0,1,0,1,380,2438,2034,35,"You transferred responsibility to Anna","03/06/2017","listening","n","n","n",404,NA,"","",0,NA,NA,NA
1372,0,"Grupo A",418,2,12,0,1,0,1,299,1978,1371,32,"You sold the land to Mike","03/06/2017","listening","n","n","n",607,NA,"","",0,NA,NA,NA
1382,0,"Grupo A",418,2,22,1,1,0,1,232,1919,1634,24,"You entrusted the key to Jeff","03/06/2017","listening","n","n","n",285,NA,"","",1,NA,NA,NA
1384,0,"Grupo A",418,2,24,0,0,0,1,487,1725,1390,18,"Your sister blew you a kiss","03/06/2017","listening","n","n","n",335,NA,"","",1,NA,NA,NA
1388,0,"Grupo A",418,2,28,0,0,0,1,396,1991,1508,17,"Chris offered you some writing tips","03/06/2017","listening","n","n","n",483,NA,"","",1,NA,NA,NA
1394,0,"Grupo A",418,2,34,0,0,0,1,290,1906,1696,13,"John dedicated the song to you","03/06/2017","listening","n","n","n",210,NA,"","",1,NA,NA,NA
1395,0,"Grupo A",418,2,35,0,1,0,1,311,1599,1270,38,"You paid Amanda tribute","03/06/2017","listening","n","n","n",329,NA,"","",0,NA,NA,NA
1399,0,"Grupo A",418,2,39,0,0,0,1,927,2165,1733,16,"Steve lavished you with praise","03/06/2017","listening","n","n","n",432,NA,"","",1,NA,NA,NA
1402,0,"Grupo A",418,2,42,1,1,0,1,337,1789,1427,30,"You poured your dad some water","03/06/2017","listening","n","n","n",362,NA,"","",1,NA,NA,NA
1405,0,"Grupo A",418,2,45,1,0,0,1,295,2210,1489,3,"Jack kicked the football to you","03/06/2017","listening","n","n","n",721,NA,"","",0,NA,NA,NA
1407,0,"Grupo A",418,2,47,0,0,0,1,370,1598,1698,15,"Jesse gave you another chance","03/06/2017","listening","n","n","n",-100,NA,"","",1,NA,NA,NA
1410,0,"Grupo A",418,2,50,0,0,0,1,392,1442,1022,19,"He taught you a lesson","03/06/2017","listening","n","n","n",420,NA,"","",1,NA,NA,NA
1412,0,"Grupo A",418,2,52,0,1,0,1,409,1671,1407,40,"You sent your family regards","03/06/2017","listening","n","n","n",264,NA,"","",0,NA,NA,NA
1413,0,"Grupo A",418,2,53,1,1,0,1,386,1682,1186,26,"You threw Diane the pen","03/06/2017","listening","n","n","n",496,NA,"","",1,NA,NA,NA
1414,0,"Grupo A",418,2,54,0,0,0,1,734,2015,1746,12,"Tiana devoted her time to you","03/06/2017","listening","n","n","n",269,NA,"","",1,NA,NA,NA
1416,0,"Grupo A",418,2,56,0,1,0,1,311,2594,1724,37,"Ian received the complaint from you","03/06/2017","listening","n","n","n",870,NA,"","",0,NA,NA,NA
1417,0,"Grupo A",418,2,57,1,0,0,1,297,1811,1503,1,"Andy delivered the pizza to you","03/06/2017","listening","n","n","n",308,NA,"","",0,NA,NA,NA
1418,0,"Grupo A",418,2,58,1,0,0,1,391,1975,1559,8,"Courtney handed you the notebook","03/06/2017","listening","n","n","n",416,NA,"","",0,NA,NA,NA
1421,0,"Grupo A",418,2,61,0,1,0,1,349,2127,1310,39,"You told Liz the story","03/06/2017","listening","n","n","n",817,NA,"","",0,NA,NA,NA
1422,0,"Grupo A",418,2,62,0,1,0,1,1103,1662,1182,31,"You slipped Heather a note","03/06/2017","listening","n","n","n",480,NA,"","",0,NA,NA,NA
1425,0,"Grupo A",418,2,65,0,0,0,1,404,1807,1369,14,"Jenni sang you a song","03/06/2017","listening","n","n","n",438,NA,"","",1,NA,NA,NA
1427,0,"Grupo A",418,2,67,1,1,0,1,282,2209,1567,25,"You handed the puppy to Katie","03/06/2017","listening","n","n","n",642,NA,"","",1,NA,NA,NA
1429,0,"Grupo A",418,2,69,1,0,0,1,328,2777,1926,7,"Sally slid you the cafeteria tray","03/06/2017","listening","n","n","n",851,NA,"","",0,NA,NA,NA
1434,0,"Grupo A",418,2,74,1,0,0,1,266,1775,1396,6,"Christine bought you ice cream","03/06/2017","listening","n","n","n",379,NA,"","",0,NA,NA,NA
1435,0,"Grupo A",418,2,75,1,0,0,1,302,1671,1322,9,"Paul hit you the baseball","03/06/2017","listening","n","n","n",349,NA,"","",0,NA,NA,NA
1438,0,"Grupo A",418,2,78,1,0,0,1,360,2323,1704,10,"Adam conveyed the message to you","03/06/2017","listening","n","n","n",619,NA,"","",0,NA,NA,NA
1448,0,"Grupo A",419,1,8,0,0,0,1,348,1957,1704,10,"Adam conveyed the message to you","03/06/2017","language{.} how mind works{.} what mind receives{.}","n","n","n",253,NA,"","",1,NA,NA,NA
1449,0,"Grupo A",419,1,9,1,0,0,1,342,1962,1696,13,"John dedicated the song to you","03/06/2017","language{.} how mind works{.} what mind receives{.}","n","n","n",266,NA,"","",0,NA,NA,NA
1451,0,"Grupo A",419,1,11,1,1,0,1,290,2369,2065,34,"You radioed the message to the policeman","03/06/2017","language{.} how mind works{.} what mind receives{.}","n","n","n",304,NA,"","",1,NA,NA,NA
1452,0,"Grupo A",419,1,12,0,1,0,1,352,1900,1645,27,"You kicked Joe the soccer ball","03/06/2017","language{.} how mind works{.} what mind receives{.}","n","n","n",255,NA,"","",0,NA,NA,NA
1454,0,"Grupo A",419,1,14,0,1,0,1,334,1930,1634,24,"You entrusted the key to Jeff","03/06/2017","language{.} how mind works{.} what mind receives{.}","n","n","n",296,NA,"","",0,NA,NA,NA
