"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
34,0,"Grupo A",401,3,34,0,0,0,1,280,1640,1623,8,"Shawn shot you the rubber band","12/22/2016","comprehension","n","n","n",17,NA,"","",1,NA,NA,NA
38,0,"Grupo A",401,3,38,0,0,0,1,287,1483,1347,9,"Mike rolled you the marble","12/22/2016","comprehension","n","n","n",136,NA,"","",1,NA,NA,NA
39,0,"Grupo A",401,3,39,1,1,0,1,269,1632,1126,39,"You taught him a lesson","12/22/2016","comprehension","n","n","n",506,NA,"","",1,NA,NA,NA
40,0,"Grupo A",401,3,40,1,1,0,1,252,1655,1307,38,"You blew your sister a kiss","12/22/2016","comprehension","n","n","n",348,NA,"","",1,NA,NA,NA
43,0,"Grupo A",401,3,43,1,1,0,1,277,1407,1507,40,"You pitched Andy the idea","12/22/2016","comprehension","n","n","n",-100,NA,"","",1,NA,NA,NA
48,0,"Grupo A",401,3,48,1,0,0,1,287,1492,1277,19,"Liz told you the story","12/22/2016","comprehension","n","n","n",215,NA,"","",0,NA,NA,NA
53,0,"Grupo A",401,3,53,0,0,0,1,445,1620,1473,10,"Your dad poured you some water","12/22/2016","comprehension","n","n","n",147,NA,"","",1,NA,NA,NA
54,0,"Grupo A",401,3,54,0,1,0,1,303,1765,1485,22,"You awarded a medal to Helen","12/22/2016","comprehension","n","n","n",280,NA,"","",0,NA,NA,NA
55,0,"Grupo A",401,3,55,0,1,0,1,322,1776,1681,21,"You delivered the Pizza to Andy","12/22/2016","comprehension","n","n","n",95,NA,"","",0,NA,NA,NA
58,0,"Grupo A",401,3,58,1,0,0,1,332,1642,1371,20,"Your family sent you regards","12/22/2016","comprehension","n","n","n",271,NA,"","",0,NA,NA,NA
60,0,"Grupo A",401,3,60,1,0,0,1,620,2128,2138,15,"Anna transferred responsibility to you","12/22/2016","comprehension","n","n","n",-10,NA,"","",0,NA,NA,NA
65,0,"Grupo A",401,3,65,1,1,0,1,325,2175,1837,31,"You bestowed the honor upon Art","12/22/2016","comprehension","n","n","n",338,NA,"","",1,NA,NA,NA
66,0,"Grupo A",401,3,66,1,0,0,1,283,1906,1724,17,"You received the complaint from Ian","12/22/2016","comprehension","n","n","n",182,NA,"","",0,NA,NA,NA
71,0,"Grupo A",401,3,71,0,0,0,1,341,1638,1523,7,"Joe kicked you the soccer ball","12/22/2016","comprehension","n","n","n",115,NA,"","",1,NA,NA,NA
73,0,"Grupo A",401,3,73,1,0,0,1,299,2211,2184,14,"The policeman radioed the message to you","12/22/2016","comprehension","n","n","n",27,NA,"","",0,NA,NA,NA
74,0,"Grupo A",401,3,74,1,1,0,1,241,1860,1390,34,"You sang Jenni a song","12/22/2016","comprehension","n","n","n",470,NA,"","",1,NA,NA,NA
77,0,"Grupo A",401,3,77,1,0,0,1,227,1793,1647,16,"Dan confessed his secret to you","12/22/2016","comprehension","n","n","n",146,NA,"","",0,NA,NA,NA
78,0,"Grupo A",401,3,78,1,0,0,1,237,2290,1501,12,"Mike sold the land to you","12/22/2016","comprehension","n","n","n",789,NA,"","",0,NA,NA,NA
82,0,"Grupo A",402,2,2,0,1,0,1,513,2161,1600,36,"You confessed your secret to Dan","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",561,NA,"","",0,NA,NA,NA
