Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67564343832945,154.059955397458,A,left,0.02837821719164725,0,0,0,7,,,,,20.086199200013652,24.090995399979874,24.57465839991346,28.57922439998947,29.079971400089562,33.08452849998139,16.08194679999724,20.086199200013652,33.584970799973235,None,right,0,1.2270366000011563,37.789757600054145,None,37.689956499962136,None,39.04125880007632,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.68883013475899,149.520138400531,A,left,0.028444150673794952,0,1,1,2,,,,,,,,,,,,,,,right,0,0.534339000005275,40.22603440005332,None,40.126925399992615,None,40.79922470008023,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.75538637723267,153.504117723871,A,left,0.02877693188616335,0,2,2,9,,,,,,,,,,,,,,,left,1,1.109706399962306,41.9948458999861,None,41.89448369992897,None,43.1294026998803,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
6.8527873210936,96.309129997751,B,right,0.034263936605468,0,3,3,18,,,,,,,,,,,,,,,left,0,0.9989254998508841,44.31413089996204,None,44.21419469988905,None,45.334059400018305,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.65585269156395,151.419628283771,A,left,0.028279263457819753,0,4,4,8,,,,,,,,,,,,,,,left,1,0.9400349999777973,46.51771260006353,None,46.41653329995461,None,47.487446299986914,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
6.78987259286191,97.6463219968677,B,right,0.033949362964309546,0,5,5,16,,,,,,,,,,,,,,,left,0,1.3398726000450552,48.68567049992271,None,48.58583300001919,None,50.054030400002375,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
6.7567322056875,99.1628345215938,B,right,0.0337836610284375,0,6,6,19,,,,,,,,,,,,,,,left,0,1.2340681999921799,51.23885919991881,None,51.13853739993647,None,52.49053979991004,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
6.83077650682998,95.6372159808997,B,right,0.0341538825341499,0,7,7,12,,,,,,,,,,,,,,,right,1,1.1181357998866588,53.6753100999631,None,53.57465369999409,None,54.80958510003984,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.72929173891045,152.547911440747,A,left,0.02864645869455225,0,8,8,1,,,,,,,,,,,,,,,right,0,1.0639074000064284,55.99411279987544,None,55.89428379992023,None,57.07871329993941,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.67245986027589,152.453452021453,A,left,0.028362299301379453,0,9,9,4,,,,,,,,,,,,,,,right,0,0.8729832998942584,58.26359890005551,None,58.163234299980104,None,59.16481149988249,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
6.80210572350653,99.4292669698824,B,right,0.03401052861753265,0,10,10,10,,,,,,,,,,,,,,,left,0,1.0994973999913782,60.34931869991124,None,60.248799700057134,None,61.467442699940875,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.67941475951967,151.666501561788,A,left,0.02839707379759835,0,11,11,5,,,,,,,,,,,,,,,right,0,0.9798107999376953,62.65231540007517,None,62.55212530004792,None,63.65350289992057,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.61469086173203,156.117241799383,A,left,0.02807345430866015,0,12,12,3,,,,,,,,,,,,,,,right,0,1.1786799998953938,64.83769929991104,None,64.737592499936,None,66.03899840009399,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
6.77060987577728,100.769354151297,B,right,0.033853049378886405,0,13,13,17,,,,,,,,,,,,,,,left,0,0.585151300067082,67.22387129999697,None,67.12371920002624,None,67.84123719995841,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
5.7508286515016,154.083947047562,A,left,0.028754143257507997,0,14,14,0,,,,,,,,,,,,,,,left,1,0.6221930999308825,69.02603699988686,None,68.92573609994724,None,69.67657079990022,None,,,,,,,Antonella,001,2022-09-01_16h42.30.375,PruebaGabor2,2022.1.3,60.1307001049442,
