Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.79560461389336,95.6732342354127,B,right,0.0339780230694668,15,0,14,14,14,,,,,,,,,,,,,,,left,0,0.8396789999678731,63.07542059989646,None,62.97506389999762,None,63.942745100008324,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.78987259286191,97.6463219968677,B,right,0.033949362964309546,16,0,15,15,15,,,,,,,,,,,,,,,right,1,0.6671573999337852,65.12784059997648,None,65.02829859987833,None,65.81204929994419,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.7937359242632,98.7564149697548,B,right,0.033968679621316,17,0,16,16,16,,,,,,,,,,,,,,,right,1,0.3340324000455439,66.99671979993582,None,66.89624539995566,None,67.36372749996372,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.61469086173203,156.117241799383,A,left,0.02807345430866015,18,0,17,17,17,,,,,,,,,,,,,,,left,1,0.7263086000457406,68.5481569999829,None,68.4479894998949,None,69.29909040010534,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.77111532989552,94.9967013950831,B,right,0.0338555766494776,19,0,18,18,18,,,,,,,,,,,,,,,right,1,0.9512265999801457,70.48390390002169,None,70.38426290010102,None,71.4516421998851,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.79057937792502,96.2591992028893,B,right,0.0339528968896251,20,0,19,19,19,,,,,,,,,,,,,,,left,0,1.198383599985391,72.63609539996833,None,72.53591670002788,None,73.85446240007877,None,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.37325900001451,None,space,2.7859908000100404,75.85708949994296,None,,,,,,,,,,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.7699292388116,95.4409030654879,B,right,0.033849646194058,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,78.77692020009272,None,left,0,1.213452500058338,78.87704690010287,None,80.11700539989397,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.83806567852327,95.9180114555596,B,right,0.03419032839261635,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,81.21325009991415,None,right,1,0.8812591000460088,81.31368239992298,None,82.21407509990968,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.74990463300666,94.2474965407515,B,right,0.0337495231650333,3,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,83.29843769990839,None,right,1,0.7167623999994248,83.3987243999727,None,84.13308200007305,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
