Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.68883013475899,149.520138400531,A,left,0.028444150673794952,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.7839328999398276,80.65341809997335,None,80.55333809996955,None,81.470324599999,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
6.77060987577728,100.769354151297,B,right,0.033853049378886405,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,1.5587484000716358,82.65401679999195,None,82.5539579000324,None,84.23806939995848,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
5.72929173891045,152.547911440747,A,left,0.02864645869455225,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.8149572999682277,85.4215573000256,None,85.32182519999333,None,86.25521570001729,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
6.79560461389336,95.6732342354127,B,right,0.0339780230694668,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,1.4545444999821484,87.43878840003163,None,87.33890279999468,None,88.92285800003447,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
6.78987259286191,97.6463219968677,B,right,0.033949362964309546,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.8824752999935299,90.10592830006499,None,90.00594599999022,None,91.00634850002825,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
6.7937359242632,98.7564149697548,B,right,0.033968679621316,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.6071166000328958,92.19017449999228,None,92.09044920001179,None,92.82378860004246,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
5.61469086173203,156.117241799383,A,left,0.02807345430866015,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.7015364000108093,94.00755660003051,None,93.90749550005421,None,94.74153120000847,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
6.77111532989552,94.9967013950831,B,right,0.0338555766494776,19,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.8162505000364035,95.92465279996395,None,95.8250181999756,None,96.76050329999998,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
6.79057937792502,96.2591992028893,B,right,0.0339528968896251,20,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.1580549000063911,97.95858480001334,None,97.85845669999253,None,98.14189500000793,None,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.65941349999048,None,space,0.9020179000217468,100.15966550004669,None,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h10.58.595,PruebaGabor2,2022.1.3,59.68410397316054,
