Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.7508286515016,154.083947047562,A,left,0.028754143257507997,0,0,0,0,,,,,16.678486899938434,20.68261219980195,21.183891599997878,25.187680799979717,25.68792639998719,29.69253039988689,12.68968169996515,16.69435859983787,30.176418299786747,None,left,1,0.5061029000207782,34.38129109982401,None,34.281036200001836,None,34.915181999793276,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.72929173891045,152.547911440747,A,left,0.02864645869455225,0,1,1,1,,,,,,,,,,,,,,,left,1,0.19548720004968345,36.09994859993458,None,35.999947199830785,None,36.31999469990842,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.68883013475899,149.520138400531,A,left,0.028444150673794952,0,2,2,2,,,,,,,,,,,,,,,left,1,0.5194949998985976,37.51818459993228,None,37.41838169982657,None,38.06885979999788,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.61469086173203,156.117241799383,A,left,0.02807345430866015,0,3,3,3,,,,,,,,,,,,,,,left,1,0.5606488999910653,39.253510099835694,None,39.153283399995416,None,39.83769660000689,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.67245986027589,152.453452021453,A,left,0.028362299301379453,0,4,4,4,,,,,,,,,,,,,,,left,1,0.735938899917528,41.02239639987238,None,40.92203509993851,None,41.78969939984381,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.67941475951967,151.666501561788,A,left,0.02839707379759835,0,5,5,5,,,,,,,,,,,,,,,left,1,0.5353690001647919,42.97463909978978,None,42.8746185998898,None,43.541749299969524,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.71255945233368,151.627061988579,A,left,0.028562797261668396,0,6,6,6,,,,,,,,,,,,,,,left,1,0.5120981999207288,44.72640849999152,None,44.62652779999189,None,45.26058559981175,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.67564343832945,154.059955397458,A,left,0.02837821719164725,0,7,7,7,,,,,,,,,,,,,,,left,1,0.14480730006471276,46.44531759992242,None,46.34505349979736,None,46.61217109998688,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.65585269156395,151.419628283771,A,left,0.028279263457819753,0,8,8,8,,,,,,,,,,,,,,,left,1,0.07341519999317825,47.796550899976864,None,47.69647729978897,None,47.89640109986067,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.75538637723267,153.504117723871,A,left,0.02877693188616335,0,9,9,9,,,,,,,,,,,,,,,left,1,0.09339720010757446,49.08088759984821,None,48.98137989989482,None,49.19795079994947,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.80210572350653,99.4292669698824,B,right,0.03401052861753265,0,10,10,10,,,,,,,,,,,,,,,left,0,0.11235699988901615,50.383072699885815,None,50.2829171998892,None,50.51663799979724,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.79560461389336,95.6732342354127,B,right,0.0339780230694668,0,11,11,11,,,,,,,,,,,,,,,left,0,0.561720099998638,51.701039999956265,None,51.60109309991822,None,52.290842899819836,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.83077650682998,95.6372159808997,B,right,0.0341538825341499,0,12,12,12,,,,,,,,,,,,,,,right,1,0.2159458000678569,53.486612799810246,None,53.38664789986797,None,53.7201853999868,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.79057937792502,96.2591992028893,B,right,0.0339528968896251,0,13,13,13,,,,,,,,,,,,,,,right,1,0.2614285000599921,54.90467619989067,None,54.804803599836305,None,55.18886429979466,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.77111532989552,94.9967013950831,B,right,0.0338555766494776,0,14,14,14,,,,,,,,,,,,,,,right,1,0.28161419997923076,56.37270899978466,None,56.27288549998775,None,56.673312600003555,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.7937359242632,98.7564149697548,B,right,0.033968679621316,0,15,15,15,,,,,,,,,,,,,,,right,1,0.7961732000112534,57.85788409993984,None,57.75781169999391,None,58.675584599841386,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.78987259286191,97.6463219968677,B,right,0.033949362964309546,0,16,16,16,,,,,,,,,,,,,,,right,1,0.19338489999063313,59.86023689992726,None,59.76030460000038,None,60.077287499792874,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.77060987577728,100.769354151297,B,right,0.033853049378886405,0,17,17,17,,,,,,,,,,,,,,,right,1,0.2004588998388499,61.26175449998118,None,61.161486599827185,None,61.4787905998528,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
