Frecuencia,Orientaciondecimales,Categoria,Orientacion,FrecuenciaEspacial,tecla,Tecla,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,KeyRespPrueba.rt,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.70302277314696,,A,96.9982272857429,0.028515113865734798,left,Left,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,96.35268129999895,None,left,1,0.45495500000106404,96.45272309999928,None,96.93629059999876,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.7712490071334,,B,60.2038916028961,0.033856245035667,right,Right,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,98.01991590000034,None,right,1,0.48245440000027884,98.1208888000001,None,98.621026599998,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.78591396694264,,B,60.96814582059859,0.0339295698347132,right,Right,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,99.70427299999938,None,right,1,0.5030070000029809,99.80469439999797,None,100.33797279999999,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.7861300224522,,A,98.89064842986241,0.028930650112261,left,Left,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,101.42174799999702,None,left,1,0.48146330000599846,101.52178469999853,None,102.02210379999815,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.74037109471642,,B,59.5246124615583,0.0337018554735821,right,Right,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,103.10585329999958,None,right,1,1.6219911000043794,103.20535910000035,None,104.85651270000017,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.70147029690313,,A,96.5086685933335,0.02850735148451565,left,Left,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,105.93983599999774,None,left,1,0.4275787000042328,106.03997379999782,None,106.48985469999752,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.69237402243448,,A,96.5006797142118,0.0284618701121724,left,Left,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,107.5734214999975,None,left,1,0.40248270000302,107.67398049999974,None,108.10761160000038,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.82217860521281,,B,62.2158334664355,0.03411089302606405,right,Right,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,109.19088199999896,None,right,1,0.48082870000143885,109.29089209999802,None,109.79106049999973,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.86193314808485,,B,63.150615169344405,0.034309665740424246,right,Right,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,110.87485789999846,None,right,1,0.42072310000366997,110.97470509999766,None,111.42492039999706,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.72530625322678,,A,97.2472305457173,0.0286265312661339,left,Left,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,112.5085481999995,None,left,1,0.37925499999983003,112.60872449999806,None,113.00886019999962,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.64957882532122,,A,94.3402366143518,0.0282478941266061,left,Left,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,114.09209069999997,None,left,1,0.5719972000042617,114.1920790999975,None,114.79437119999784,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.8749127966295,,B,63.5190774308247,0.034374563983147505,right,Right,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,115.89214829999764,None,right,1,0.5160926000025938,115.99212959999932,None,116.52568079999764,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.74506164945214,,B,59.6281540691298,0.0337253082472607,right,Right,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,117.61015889999908,None,right,1,0.48552370000470546,117.71026509999865,None,118.22662879999916,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.67952016090511,,A,95.494243127605,0.02839760080452555,left,Left,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,119.31034989999898,None,right,0,0.784856000002037,119.41031099999964,None,120.2337864000001,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.719145030165,,A,97.06851619359999,0.028595725150825,left,Left,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,121.32766479999918,None,left,1,1.1608021000029112,121.4277669999974,None,122.61433739999848,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.79652096075576,,B,61.119735380497495,0.0339826048037788,right,Right,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,123.71177249999892,None,right,1,0.6398963000028743,123.81173759999729,None,124.47847460000048,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.6660316436833,,A,95.8076835388605,0.028330158218416498,left,Left,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,125.5626470999996,None,left,1,0.46977350000452134,125.66248979999727,None,126.16279919999943,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.71454997714318,,A,97.434921498953,0.028572749885715898,left,Left,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,127.24655119999807,None,left,1,0.3843639000006078,127.3467090999984,None,127.7633550999999,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.79780810064405,,B,61.36872283451859,0.03398904050322025,right,Right,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,128.84711229999812,None,right,1,0.5209427000045252,128.94704199999978,None,129.49726219999866,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.73055428182459,,B,58.9740622048953,0.03365277140912295,right,Right,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,130.58091989999957,None,right,1,0.4509254000040528,130.68100520000007,None,131.1645557999982,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
6.83431327574922,,B,62.0735016195749,0.0341715663787461,right,Right,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,132.24815189999936,None,right,1,0.3754704000057245,132.34777419999955,None,132.7507564999978,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
5.67108255771528,,A,95.2895897881996,0.028355412788576402,left,Left,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,133.8482726000002,None,left,1,0.895296500002587,133.9482164000001,None,134.86768949999896,None,,,,,FlorNoviembreIntegraciondelaInfo,001,2022-11-15_17h16.57.829,PruebaGabor2,2022.1.3,59.83022575200344,
