Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,31.733846500050277,34.60129060014151,None,31.733846500050277,42.48701549996622,,,,,,,,,,,,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
,,,,,,,,,,,,,,34.60129060014151,43.15381529997103,None,34.60129060014151,48.0053501999937,,,,,,,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
,,,,,,,,,,,,,,,,,,,43.15381529997103,49.02246160013601,None,43.15381529997103,114.99310200009495,,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
,,,,,,,,,,,,,,,,,,,,,,,,49.02246160013601,115.90973830013536,None,49.02246160013601,None,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
6.49400070200202,247,B,right,0.0324700035100101,0,0,0,0,,,,,,,,,,,,,,,,,,,,,115.90973830013536,115.90973830013536,right,1,1.8328652000054717,121.29446200001985,None,121.19772230018862,None,123.14823090005666,None,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
6.7112388074605,147,B,right,0.0335561940373025,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,right,1,0.4140174000058323,124.345620600041,None,124.24564980017021,None,124.78409580001608,None,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
6.29639159036468,139,B,right,0.031481957951823396,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,right,1,1.195106799947098,125.97969239996746,None,125.87980550015345,None,127.19681980018504,None,AntonellaSeptiembre,001,2022-09-27_15h45.25.406,PruebaGabor2,2022.1.3,59.969763252498105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.7228580999653786,128.38051500008442,None,128.2803673001472,None,,,,,,,,,
