Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,15.133844899944961,15.648156099952757,None,15.133844899944961,16.16495180001948,,,,,,,,,,,,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
,,,,,,,,,,,,,,15.648156099952757,16.63167369994335,None,15.648156099952757,17.598792999982834,,,,,,,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
,,,,,,,,,,,,,,,,,,,16.63167369994335,18.04880939994473,None,16.63167369994335,21.58367039996665,,,,,,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
,,,,,,,,,,,,,,,,,,,,,,,,18.04880939994473,18.88259769999422,None,18.04880939994473,22.53386560000945,,,,,,,,,,,,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
6.49400070200202,91,B,right,0.0324700035100101,0,0,0,0,,,,,,,,,,,,,,,,,,,,,18.88259769999422,None,right,1,0.67809549998492,23.08422309998423,None,22.984195500030182,None,23.784295900026336,None,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
6.7112388074605,209,B,right,0.0335561940373025,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,right,1,0.706089400104247,24.968087299959734,None,24.867952200002037,None,25.702944300021045,None,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
6.29639159036468,310,B,right,0.031481957951823396,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,right,1,0.33301900001242757,26.90193489997182,None,26.802083399961703,None,27.252193599939346,None,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
4.21034628701276,242,A,left,0.021051731435063798,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,left,1,0.6622462999075651,28.436087799957022,None,28.3354511000216,None,29.119427599944174,None,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
4.36345945902825,354,A,left,0.021817297295141248,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,left,1,0.6837303000502288,30.30294480000157,None,30.202962400042452,None,31.00371780002024,None,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
4.27238428520602,113,A,left,0.021361921426030103,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,left,1,0.6873598999809474,32.1870444000233,None,32.086842600023374,None,32.90384869999252,None,AntonellaSeptiembre,001,2022-09-22_15h41.31.135,PruebaGabor2,2022.1.3,59.932096947364286,
