Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.08807541345859,121.78673616566,C,left,0.020440377067292948,11,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.6553840001579374,86.6006390999537,None,86.50069750007242,None,87.28441249998286,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
3.97308644904996,130.600474201337,C,left,0.0198654322452498,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.6366139000747353,88.46807130007073,None,88.36805299995467,None,89.13470709999092,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
4.33655731695023,122.266729602767,C,left,0.02168278658475115,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.8564495001919568,90.3186075000558,None,90.21864229999483,None,91.20347859989852,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
4.36292548452127,122.048955725982,C,left,0.02181462742260635,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.5978463999927044,92.3859739000909,None,92.28586809989065,None,93.00279440009035,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
6.21753476784453,124.977612727287,D,right,0.03108767383922265,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.6128501002676785,94.18631580006331,None,94.08648109994829,None,94.82057929993607,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
4.37409266459488,120.871756794389,C,left,0.021870463322974397,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.8753272001631558,96.00395509996451,None,95.90373050002381,None,96.90542359999381,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
6.0389343246197,124.824012507754,D,right,0.030194671623098503,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.7763336002826691,98.08764009992592,None,97.98781129997224,None,98.8882208999712,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
6.00539778672543,121.531819967067,D,right,0.03002698893362715,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.6879612002521753,100.07182419998571,None,99.97154850000516,None,100.78848830005154,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
6.03311475641765,125.747387448784,D,right,0.03016557378208825,19,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.22042979998514056,101.97197429998778,None,101.87203589989804,None,102.22260960005224,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
5.92116904802556,124.69145744445,D,right,0.029605845240127802,20,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.7455299999564886,103.40606450010091,None,103.30630289996043,None,104.17352119996212,None,,,,,,,,,,,,,,,,AntonellaNoviembre,001,2022-10-25_15h29.26.303,PruebaGabor2,2022.1.3,59.91662001051586,
