Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.29639159036468,2,B,right,0.031481957951823396,0,0,0,10,16.202767200069502,20.207381600048393,20.7083180998452,24.712418499868363,25.21312589989975,29.21757290000096,12.214910299982876,16.219506100052968,29.717987600015476,None,right,1,0.845770699903369,33.9392538999673,None,33.839314199984074,None,34.807129099965096,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
6.51637076147905,95,B,right,0.03258185380739525,0,1,1,13,,,,,,,,,,,right,1,0.8738957000896335,35.99153220001608,None,35.891720299841836,None,36.89645830006339,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
6.49953455417403,38,B,right,0.03249767277087015,0,2,2,12,,,,,,,,,,,right,1,0.9227925001177937,38.09456799994223,None,37.994493199978024,None,39.04572329996154,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.2515157424853,334,A,left,0.021257578712426502,0,3,3,9,,,,,,,,,,,right,0,1.3791363998316228,40.23042539996095,None,40.13036339986138,None,41.632055500056595,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
6.49400070200202,280,B,right,0.0324700035100101,0,4,4,17,,,,,,,,,,,right,1,0.6810544000472873,42.81682369997725,None,42.71676980005577,None,43.52092479984276,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.17504873370622,133,A,left,0.020875243668531097,0,5,5,4,,,,,,,,,,,right,0,0.7302546999417245,44.71903929999098,None,44.61874439986423,None,45.46963689988479,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.36345945902825,285,A,left,0.021817297295141248,0,6,6,1,,,,,,,,,,,right,0,0.7074857000261545,46.65417529991828,None,46.554036000045016,None,47.3895069998689,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.07997828140618,193,A,left,0.0203998914070309,0,7,7,6,,,,,,,,,,,right,0,1.4932244000956416,48.573456699959934,None,48.47320059989579,None,50.09172150003724,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
6.40018318747358,16,B,right,0.032000915937367896,0,8,8,11,,,,,,,,,,,right,1,0.7409300000872463,51.27660269988701,None,51.176589200040326,None,52.0440286998637,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.28989131572139,97,A,left,0.021449456578606953,0,9,9,3,,,,,,,,,,,left,1,1.3248536998871714,53.228925900068134,None,53.12867480004206,None,54.58272279985249,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.3885152373554,250,A,left,0.021942576186777002,0,10,10,7,,,,,,,,,,,left,1,0.6596359999384731,55.781355699989945,None,55.68122909986414,None,56.46545289992355,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
6.42492405285687,326,B,right,0.03212462026428435,0,11,11,19,,,,,,,,,,,left,0,0.7436277000233531,57.65016829990782,None,57.55014259996824,None,58.417683199979365,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
6.62334361253407,36,B,right,0.03311671806267035,0,12,12,18,,,,,,,,,,,left,0,0.7187400998082012,59.602466699900106,None,59.50228809984401,None,60.361358399968594,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
4.27238428520602,68,A,left,0.021361921426030103,0,13,13,0,,,,,,,,,,,right,0,1.1260311999358237,61.55587129993364,None,61.45505029987544,None,62.70641069998965,None,,001,2022-08-31_17h44.01.407,PruebaGabor2,2022.1.3,59.98077017227629,
,,,,,,,,,,,,,,,,,,,left,0,0.4631178001873195,63.89050219999626,None,63.790619999868795,None,,,,,,,,,
