Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.27238428520602,123.888873544604,A,left,0.021361921426030103,0,0,0,0,,,,,18.624474399955943,22.62901940010488,23.112949900096282,27.11744949989952,27.617630299879238,31.62244819989428,14.620513699948788,18.624474399955943,32.12326389993541,None,right,0,1.0592436001170427,36.32828749995679,None,36.22827389999293,None,37.41294159996323,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.36345945902825,125.703964385564,A,left,0.021817297295141248,0,1,1,1,,,,,,,,,,,,,,,left,1,0.28647240018472075,38.59768219990656,None,38.497498699929565,None,38.92095119995065,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.21034628701276,126.69960386714,A,left,0.021051731435063798,0,2,2,2,,,,,,,,,,,,,,,right,0,0.44779310026206076,40.115780000109226,None,40.0157280000858,None,40.59293649997562,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.28989131572139,124.021447014589,A,left,0.021449456578606953,0,3,3,3,,,,,,,,,,,,,,,right,0,0.4834787000436336,41.784379800083116,None,41.684293899917975,None,42.28739139996469,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.17504873370622,125.371443259583,A,left,0.020875243668531097,0,4,4,4,,,,,,,,,,,,,,,left,1,0.34152230015024543,43.470011400058866,None,43.3698251999449,None,43.83714900002815,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.17843512507528,128.27949758732,A,left,0.020892175625376402,0,5,5,5,,,,,,,,,,,,,,,left,1,0.18207850004546344,45.021792999934405,None,44.92162279994227,None,45.222050100099295,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.07997828140618,127.622075895731,A,left,0.0203998914070309,0,6,6,6,,,,,,,,,,,,,,,left,1,0.30951980012468994,46.406718200072646,None,46.30645000003278,None,46.74054390005767,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.3885152373554,126.125500489509,A,left,0.021942576186777002,0,7,7,7,,,,,,,,,,,,,,,left,1,0.38290300010703504,47.925140500068665,None,47.82512459997088,None,48.32549459999427,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.20073613419003,125.509129014862,A,left,0.02100368067095015,0,8,8,8,,,,,,,,,,,,,,,left,1,0.2772427999880165,49.51022309996188,None,49.41010889993049,None,49.81061449996196,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
4.2515157424853,127.771435310644,A,left,0.021257578712426502,0,9,9,9,,,,,,,,,,,,,,,left,1,0.2894729000981897,50.99586230004206,None,50.89520819997415,None,51.312281399965286,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
6.29639159036468,127.124536166004,B,right,0.031481957951823396,0,10,10,10,,,,,,,,,,,,,,,left,0,0.1070936000905931,52.49703250010498,None,52.3968660000246,None,52.63050689990632,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
6.40018318747358,121.298119449967,B,right,0.032000915937367896,0,11,11,11,,,,,,,,,,,,,,,left,0,0.2928408000152558,53.81500809988938,None,53.71517720003612,None,54.132281600032,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
6.49953455417403,128.847545785929,B,right,0.03249767277087015,0,12,12,12,,,,,,,,,,,,,,,right,1,0.12675010017119348,55.31683350005187,None,55.21682549989782,None,55.46708670002408,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
6.51637076147905,127.292776329701,B,right,0.03258185380739525,0,13,13,13,,,,,,,,,,,,,,,right,1,0.24842510023154318,56.65192610002123,None,56.55175290000625,None,56.91872450010851,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
6.13049851653438,124.500689885285,B,right,0.0306524925826719,0,14,14,14,,,,,,,,,,,,,,,right,1,0.4597883000969887,58.103636000072584,None,58.00349980010651,None,58.58830470009707,None,,,,,,,Antonella2,001,2022-08-31_17h32.51.115,PruebaGabor2,2022.1.3,60.16112355736029,
