trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,8.626203200000418,None,space,1.7677160000002914,8.626203200000418,None,,,,,,,sdf,001,2021_Mar_01_1726,PruebaGabor2,2021.1.0,59.96875627776501,
,,,,,,,,,,,,,,,10.590809300000728,13.605278500000168,None,0,10.67235669999991,None,,,,,,,
