FrecEspacial,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67570285788662,58,A,left,0.0283785142894331,0,0,0,0,22.230091799981892,26.234513900009915,26.717900600051507,30.721702800132334,31.222772700013593,35.22772700013593,18.225069800158963,22.230091799981892,35.72817440005019,None,left,1,2.8799434998072684,39.93327070004307,None,39.833570200018585,None,42.83651560009457,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
5.97436997443584,274,A,left,0.0298718498721792,0,1,1,1,,,,,,,,,,,left,1,0.8808443997986615,44.02071940014139,None,43.92057320009917,None,44.93619170016609,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
5.68239108616436,44,A,left,0.0284119554308218,0,2,2,2,,,,,,,,,,,left,1,0.4731395998969674,46.124095200095326,None,46.02352980012074,None,46.62423179997131,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
5.87740232142946,312,A,left,0.0293870116071473,0,3,3,3,,,,,,,,,,,left,1,1.6852043999824673,47.80838320008479,None,47.708396800095215,None,49.51023260015063,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.21497055868499,276,A,left,0.03107485279342495,0,4,4,4,,,,,,,,,,,left,1,1.4376997998915613,50.695749799953774,None,50.595673700096086,None,52.16390449996106,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
5.9777226950445,339,A,left,0.0298886134752225,0,5,5,5,,,,,,,,,,,left,1,0.8253566999919713,53.348198499996215,None,53.24794170004316,None,54.20010629994795,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.16942304684475,45,A,left,0.030847115234223753,0,6,6,6,,,,,,,,,,,left,1,1.0381137998774648,55.38385840016417,None,55.2834831001237,None,56.45179329998791,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
5.83113663926556,66,A,left,0.029155683196327803,0,7,7,7,,,,,,,,,,,left,1,0.5375856999307871,57.637319300090894,None,57.53715860005468,None,58.20459460001439,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.06838533782589,333,A,left,0.03034192668912945,0,8,8,8,,,,,,,,,,,left,1,0.8169950000010431,59.38832739996724,None,59.28846530010924,None,60.222811199957505,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
5.88404357011018,175,A,left,0.0294202178505509,0,9,9,9,,,,,,,,,,,left,1,0.7583058997988701,61.408319800160825,None,61.308308500098065,None,62.191495300037786,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.80490635941894,343,B,right,0.0340245317970947,0,10,10,10,,,,,,,,,,,left,0,0.7169115997385234,63.37684949999675,None,63.27680830005556,None,64.11143689998426,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.70350812493045,295,B,right,0.03351754062465225,0,11,11,11,,,,,,,,,,,left,0,0.9344518997240812,65.2950929000508,None,65.19514030008577,None,66.26063970010728,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.55448032748352,151,B,right,0.0327724016374176,0,12,12,12,,,,,,,,,,,right,1,0.6856769998557866,67.44834060012363,None,67.34840450016782,None,68.16529810009524,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.68475017850682,360,B,right,0.033423750892534104,0,13,13,13,,,,,,,,,,,right,1,0.6795342997647822,69.35038860002533,None,69.25013840012252,None,70.06484670005739,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.55127629413204,96,B,right,0.0327563814706602,0,14,14,14,,,,,,,,,,,right,1,1.1687967998441309,71.25286110001616,None,71.15279299998656,None,72.45429000002332,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.48877641866224,211,B,right,0.0324438820933112,0,15,15,15,,,,,,,,,,,right,1,0.9276586996857077,73.63823180017062,None,73.53811760013923,None,74.58999740006402,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.34624095869614,94,B,right,0.031731204793480704,0,16,16,16,,,,,,,,,,,right,1,0.80765730002895,75.7737793000415,None,75.67399569996633,None,76.60842530010268,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
6.22544387677702,285,B,right,0.031127219383885102,0,17,17,17,,,,,,,,,,,right,1,0.30784189980477095,77.79357130010612,None,77.69336030003615,None,78.12731810007244,None,Antonella2,001,2022-08-31_17h02.43.429,PruebaGabor2,2022.1.3,59.89404744605779,
