FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,8.74424160000126,None,space,0.7979852999997092,8.74424160000126,None,,,,,,,,,,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.02,0.0,0.0,Correcta,"right",0,0,0,0,,,,,,,9.745998400001554,None,right,0,0.7903165000006993,9.808770900001036,None,10.672554700000546,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.01,45.0,0.0,Correcta,"right",0,1,1,1,,,,,,,11.756230099999812,None,right,0,1.243600100000549,11.8584778000004,None,13.120964900001127,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.025,90.0,0.0,Incorrecta,"left",0,2,2,2,,,,,,,14.219143300000724,None,left,0,1.0032537999995839,14.322036700001263,None,15.356472100000246,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.045,135.0,0.0,Incorrecta,"left",0,3,3,3,,,,,,,16.45113020000099,None,left,0,1.1689994999996998,16.54955130000053,None,17.752075600001263,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.09,0.0,0.0,Correcta,"right",0,4,4,4,,,,,,,18.847522900001422,None,right,0,0.846130699999776,18.94565169999987,None,19.811583200000314,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.1,25.0,0.0,Correcta,"right",0,5,5,5,,,,,,,20.912010699999882,None,left,0,0.5605550000000221,21.009373000000778,None,21.599602600001163,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
0.03,15.0,0.0,Correcta,"right",0,6,6,6,,,,,,,22.692397599999822,None,right,0,0.23608190000049945,22.79234400000132,None,23.056237800001327,None,erter,001,2021_Mar_01_1833,PruebaGabor2,2021.1.0,60.05688588264509,
,,,,,,,,,,,,,,,24.156016000000818,27.166494799999782,None,0,,24.254092799999853,None,,,,,,,,,
