FrecEspacial,Orientation,Categoria,CorrectAns,Fase,Respuesta,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
6.48877641866224,174,B,right,,,0,15,15,15,,,,,,,,,,,,,,,right,1,0.047324499930255115,59.529612299986184,None,59.42932380002458,None,59.596102399984375,None,,,,,,,,,,,,,,,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
6.34624095869614,210,B,right,,,0,16,16,16,,,,,,,,,,,,,,,right,1,0.12558439990971237,60.77892680000514,None,60.679053600062616,None,60.92998700006865,None,,,,,,,,,,,,,,,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
6.22544387677702,87,B,right,,,0,17,17,17,,,,,,,,,,,,,,,right,1,0.22365590010304004,62.11315380001906,None,62.01317960000597,None,62.36389490007423,None,,,,,,,,,,,,,,,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
6.55648003231694,36,B,right,,,0,18,18,18,,,,,,,,,,,,,,,right,1,0.3028393000131473,63.54678039997816,None,63.446587300044484,None,63.88014760008082,None,,,,,,,,,,,,,,,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
6.59467094736406,116,B,right,,,0,19,19,19,,,,,,,,,,,,,,,right,1,0.7124537999043241,65.0644256999949,None,64.96433129999787,None,65.79813110001851,None,,,,,,,,,,,,,,,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.29804490006063,None,space,10.821558900061063,66.82819240004756,None,,,,,,,,,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.02,0,,right,0,Correcta,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.77272020000964,80.79925100004766,None,0,77.87328649999108,None,80.89958850003313,None,,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.01,45,,right,0,Correcta,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,81.95838830003049,None,right,1,82.05923340003937,None,82.86654309998266,None,0.773268899996765,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.025,90,,left,0,Incorrecta,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,83.95842630008701,None,right,0,84.05861040006857,None,85.16771760000847,None,1.0695367000298575,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.045,135,,left,0,Incorrecta,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,86.25922630005516,None,right,0,86.3588762000436,None,87.13499960000627,None,0.7395501000573859,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.09,0,,right,0,Correcta,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,88.22676320001483,None,right,1,88.32733610004652,None,88.93543569999747,None,0.5528527999995276,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.1,25,,right,0,Correcta,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,90.027039000066,None,right,1,90.12686150008813,None,90.57251030008774,None,0.4092968999175355,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.03,15,,right,0,Correcta,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,91.66049570008181,None,right,1,91.76147070003208,None,92.35404850007035,None,0.5427474000025541,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.08,0,,right,0,Correcta,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,93.44366280001123,None,right,1,93.54474540008232,None,94.02011430007406,None,0.44843880005646497,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
0.06,100,,left,0,Incorrecta,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,95.11194620002061,None,right,0,95.21158990007825,None,95.78978290001396,None,0.5491901999339461,Antonella,001,2022-06-21_16h28.13.084,PruebaGabor2,2022.1.3,59.99473245031846,
