FrecEspacial,Orientation,Fase,Respuesta,CorrectAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.036,100.0,0.0,Incorrecta,left,0,19,19,19,,,,,,,231.80930399999488,None,left,1,1.2551397000206634,231.90925289998995,None,233.1933177000028,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.015,25.0,0.0,Correcta,right,0,20,20,20,,,,,,,234.27670620000572,None,right,1,0.6914256000018213,234.37681280000834,None,235.0936781000055,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.089,35.0,0.0,Correcta,right,0,21,21,21,,,,,,,236.1778009000118,None,right,1,0.7902935000020079,236.2780611999915,None,237.09425930000725,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.054,10.0,0.0,Correcta,right,0,22,22,22,,,,,,,238.17823510000017,None,right,1,0.8146781999967061,238.2780342999904,None,239.11222320000525,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.047,5.0,0.0,Correcta,right,0,23,23,23,,,,,,,240.19559109999682,None,right,1,0.4932152999972459,240.2954241000116,None,240.81203860000824,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.093,210.0,0.0,Incorrecta,right,0,24,24,24,,,,,,,241.89599129999988,None,right,1,1.1283014000218827,241.99602150000283,None,243.14606659999117,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.09,120.0,0.0,Incorrecta,right,0,25,25,25,,,,,,,244.22990529998788,None,left,0,1.3148548000026494,244.32980420000968,None,245.66432609999902,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.074,85.0,0.0,Incorrecta,right,0,26,26,26,,,,,,,246.7472887999902,None,left,0,2.5257441999856383,246.84735029999865,None,249.39849300001515,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.042,30.0,0.0,Correcta,right,0,27,27,27,,,,,,,250.4818576000107,None,right,1,0.7905647000006866,250.58185879999655,None,251.3989283000119,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
0.091,120.0,0.0,Incorrecta,right,0,28,28,28,,,,,,,252.48241960001178,None,left,0,1.5341137999785133,252.58249380000052,None,254.13354750000872,None,,,Prueba Mayo 1,001,2022-05-12_15h18.23.089,PruebaGabor2,2022.1.3,59.935832697334185,
,,,,,,,,,,,,,,,,,,,,,,,,255.250083299994,None,,,,,,,
