FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.761185099999238,None,space,0.8826109999999971,12.761185099999238,None,,,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,110,0.9,0,0,0,9,,,,,,,14.254416899999342,None,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,120,0.7,0,1,1,7,,,,,,,15.669083799999498,None,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,25,0.5,0,2,2,5,,,,,,,17.166539399999238,None,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,90,0.2,0,3,3,2,,,,,,,18.66423869999926,None,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,135,0.3,0,4,4,3,,,,,,,20.161961199999496,None,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,35,0.4,0,5,5,4,,,,,,,21.659512299999733,None,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
0.2,15,0.6,0,6,6,6,,,,,,,23.15735390000009,22.67468949999966,anto,001,2021_Feb_19_1221,PruebaGabor1,2020.2.10,60.08171112714519,
