trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.472318599990103,None,space,2.354009300004691,19.472318599990103,None,,,prueba4,001,2021_Feb_17_1902,PruebaGabor1,2020.2.10,60.13221872827375,
0,0,0,0,,,,,,,22.34533800004283,None,prueba4,001,2021_Feb_17_1902,PruebaGabor1,2020.2.10,60.13221872827375,
1,0,1,0,,,,,,,23.84281500003999,None,prueba4,001,2021_Feb_17_1902,PruebaGabor1,2020.2.10,60.13221872827375,
2,0,2,0,,,,,,,25.324884800007567,24.842252900009044,prueba4,001,2021_Feb_17_1902,PruebaGabor1,2020.2.10,60.13221872827375,
3,0,3,0,,,,,,,26.821605500008445,26.338910299993586,prueba4,001,2021_Feb_17_1902,PruebaGabor1,2020.2.10,60.13221872827375,
