trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.279344099981245,None,space,5.021562699985225,14.279344099981245,None,,,Prueba2,001,2021_Feb_17_1844,PruebaGabor1,2020.2.10,60.094637027426465,
0,0,0,0,,,,,,,19.81685010000365,None,Prueba2,001,2021_Feb_17_1844,PruebaGabor1,2020.2.10,60.094637027426465,
1,0,1,0,,,,,,,21.314340099983383,None,Prueba2,001,2021_Feb_17_1844,PruebaGabor1,2020.2.10,60.094637027426465,
2,0,2,0,,,,,,,22.81195669999579,None,Prueba2,001,2021_Feb_17_1844,PruebaGabor1,2020.2.10,60.094637027426465,
