FrecEspacial,Orientation,Fase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.151592100000016,None,space,0.4152727999999115,12.151592100000016,None,,,fs,001,2021_Feb_19_1228,PruebaGabor1,2020.2.10,60.15160610810892,
1.2,90,0.2,0,0,0,2,,,,,,,13.143632000000252,None,fs,001,2021_Feb_19_1228,PruebaGabor1,2020.2.10,60.15160610810892,
1.2,45,0.1,0,1,1,1,,,,,,,14.591367200000604,None,fs,001,2021_Feb_19_1228,PruebaGabor1,2020.2.10,60.15160610810892,
1.2,0,0.0,0,2,2,0,,,,,,,16.08903040000041,None,fs,001,2021_Feb_19_1228,PruebaGabor1,2020.2.10,60.15160610810892,
1.2,35,0.4,0,3,3,4,,,,,,,17.58675510000012,None,fs,001,2021_Feb_19_1228,PruebaGabor1,2020.2.10,60.15160610810892,
1.2,120,0.7,0,4,4,7,,,,,,,19.084460600000057,None,fs,001,2021_Feb_19_1228,PruebaGabor1,2020.2.10,60.15160610810892,
