"","count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad","Grupo.Lift.Off","Grupo.Lift.Off.Diff","Grupo.MoveTime"
"24",60,0,401,3,60,1,0,0,1,620,2128,2138,15,"Anna transferred responsibility to you",-10,0,"Grupo A","Grupo A","Grupo A"
"25",65,0,401,3,65,1,1,0,1,325,2175,1837,31,"You bestowed the honor upon Art",338,1,"Grupo A","Grupo A","Grupo A"
"26",66,0,401,3,66,1,0,0,1,283,1906,1724,17,"You received the complaint from Ian",182,0,"Grupo A","Grupo A","Grupo A"
"27",71,0,401,3,71,0,0,0,1,341,1638,1523,7,"Joe kicked you the soccer ball",115,1,"Grupo A","Grupo A","Grupo A"
"28",73,0,401,3,73,1,0,0,1,299,2211,2184,14,"The policeman radioed the message to you",27,0,"Grupo A","Grupo A","Grupo A"
"29",74,0,401,3,74,1,1,0,1,241,1860,1390,34,"You sang Jenni a song",470,1,"Grupo A","Grupo A","Grupo A"
"30",77,0,401,3,77,1,0,0,1,227,1793,1647,16,"Dan confessed his secret to you",146,0,"Grupo A","Grupo A","Grupo A"
"31",78,0,401,3,78,1,0,0,1,237,2290,1501,12,"Mike sold the land to you",789,0,"Grupo A","Grupo A","Grupo A"
"32",82,0,402,2,2,0,1,0,1,513,2161,1600,36,"You confessed your secret to Dan",561,0,"Grupo A","Grupo A","Grupo B"
"33",84,0,402,2,4,1,1,0,1,637,1928,1422,23,"You dealt the cards to Mark",506,1,"Grupo A","Grupo A","Grupo B"
"34",87,0,402,2,7,1,0,0,1,635,1952,1489,3,"Jack kicked the football to you",463,0,"Grupo A","Grupo A","Grupo B"
"35",88,0,402,2,8,0,1,0,1,584,1989,1270,38,"You paid Amanda tribute",719,0,"Grupo A","Grupo A","Grupo B"
"36",89,0,402,2,9,1,0,0,1,445,1706,1396,6,"Christine bought you ice cream",310,0,"Grupo A","Grupo A","Grupo B"
"37",92,0,402,2,12,0,0,0,1,576,1902,1390,18,"Your sister blew you a kiss",512,1,"Grupo A","Grupo A","Grupo B"
"38",95,0,402,2,15,0,1,0,1,643,2064,1856,33,"You transmitted the orders to Sara",208,0,"Grupo A","Grupo A","Grupo B"
"39",99,0,402,2,19,0,1,0,1,491,1648,1182,31,"You slipped Heather a note",466,0,"Grupo A","Grupo A","Grupo B"
"40",100,0,402,2,20,1,1,0,1,435,1691,1427,30,"You poured your dad some water",264,1,"Grupo A","Grupo A","Grupo B"
