"ID","CueDirection","SentenceDirection","liftOffDiff","Grupo","SentDur"
406,0,0,336,Grupo B,1371
406,1,0,464,Grupo B,1233
406,1,0,483,Grupo B,1523
406,1,0,479,Grupo B,1473
406,0,0,-825,Grupo B,1002
406,0,1,315,Grupo B,1579
406,1,1,628,Grupo B,1321
406,1,0,856,Grupo B,1460
406,1,1,491,Grupo B,1293
406,1,0,1056,Grupo B,1347
407,0,1,1265,Grupo A,1620
407,0,0,940,Grupo A,1534
407,0,0,719,Grupo A,1559
407,1,0,-20,Grupo A,1698
407,0,1,607,Grupo A,1637
407,0,0,982,Grupo A,1489
407,1,1,555,Grupo A,1310
407,1,1,265,Grupo A,1724
407,0,1,714,Grupo A,1186
407,0,0,528,Grupo A,1503
407,0,1,455,Grupo A,1567
407,1,1,255,Grupo A,2065
407,1,1,1098,Grupo A,1371
407,1,0,603,Grupo A,1746
407,1,0,613,Grupo A,1696
407,1,0,-905,Grupo A,1369
407,1,1,-1696,Grupo A,2034
407,0,0,-716,Grupo A,1322
407,1,0,-538,Grupo A,1022
407,0,0,-1384,Grupo A,1875
407,0,1,-950,Grupo A,1364
407,1,1,-1177,Grupo A,1600
407,0,1,-1174,Grupo A,1634
407,1,1,-1323,Grupo A,1856
407,0,0,-1071,Grupo A,1433
407,0,1,-859,Grupo A,1427
407,1,0,-1016,Grupo A,1508
407,0,1,-974,Grupo A,1422
407,0,0,-1008,Grupo A,1704
407,1,1,-935,Grupo A,1182
407,1,0,-1075,Grupo A,1390
407,1,0,-1495,Grupo A,1733
407,0,1,-1604,Grupo A,1936
407,1,1,-989,Grupo A,1270
407,0,1,-1364,Grupo A,1645
407,1,0,-1561,Grupo A,1805
407,0,0,-1215,Grupo A,1396
408,0,1,369,Grupo B,1856
408,0,1,600,Grupo B,1270
408,0,1,397,Grupo B,1371
408,0,0,1295,Grupo B,1390
408,0,0,493,Grupo B,1696
408,1,0,1063,Grupo B,1559
408,0,1,711,Grupo B,2034
408,0,0,735,Grupo B,1508
408,1,1,1373,Grupo B,1422
408,0,0,402,Grupo B,1746
408,0,1,1104,Grupo B,1407
408,1,1,725,Grupo B,1186
408,0,1,547,Grupo B,2065
408,1,1,603,Grupo B,1637
408,1,0,1101,Grupo B,1704
408,1,0,702,Grupo B,1322
408,0,1,954,Grupo B,1600
408,0,0,1186,Grupo B,1805
408,1,1,541,Grupo B,1567
408,1,0,573,Grupo B,1503
408,0,0,401,Grupo B,1369
