diff,lwr,upr,p adj
65.2539354563869,-36.6121516366788,167.120022549453,0.520507515686537
-9.52104351754065,-108.209909879611,89.1678228445299,0.999991033164997
22.0393013100442,-78.9355109305096,123.014113550598,0.997889949467697
334.837330866693,232.706810553175,436.967851180212,0
308.311490659155,200.873006136795,415.749975181514,0
361.370907527659,257.847332567471,464.894482487847,0
252.88267480402,144.8870419394,360.878307668639,4.83865170153308e-11
-74.7749789739275,-176.329491701487,26.7795337536323,0.331437354902746
-43.2146341463427,-146.99198918354,60.5627208908549,0.911988490446628
269.583395410307,164.68120338835,374.485587432263,0
243.057555202768,132.980969736272,353.134140669264,7.96639310074454e-10
296.116972071272,189.858055814616,402.375888327929,0
187.628739347633,77.0082917381098,298.249186957156,8.18399034618889e-06
31.5603448275848,-69.1001343223534,132.220823977523,0.980786498985081
344.358374384234,242.538619251991,446.178129516478,0
317.832534176695,210.68941814892,424.975650204471,0
370.8919510452,267.674946979892,474.108955110507,0
262.40371832156,154.701925980347,370.105510662773,4.81525930240423e-12
312.798029556649,208.761099102245,416.834960011053,0
286.27218934911,177.019877358353,395.524501339868,0
339.331606217615,233.926813672863,444.736398762367,0
230.843373493975,121.043116496579,340.643630491372,6.44148967499092e-09
-26.525840207539,-136.847180608301,83.7955001932226,0.996112835714396
26.5335766609657,-79.9788675129291,133.04602083486,0.995154301650787
-81.9546560626738,-192.818657926169,28.9093458008216,0.326213329503231
53.0594168685046,-58.5527936680151,164.671627405024,0.837162108963579
-55.4288158551349,-171.201056423159,60.3434247128894,0.832058061064608
-108.488232723639,-220.636858672497,3.66039322521833,0.0663197337206536
